table,column,type,nullable,key,unit,description,allowed_or_rule
products,product_id,string,false,primary,,Stable product identifier,^P[0-9]{3}$
products,product_name,string,false,,,Reader-facing product name,non-empty
products,category,string,false,,,Commercial product family,"noodles|spices|coffee|tea"
products,shelf_life_days,integer,false,,days,Nominal unopened shelf life,positive
products,case_cost_usd,number,false,,USD/case,Planning cost per case,non-negative
locations,location_id,string,false,primary,,Stable location identifier,^L[0-9]{3}$
locations,location_name,string,false,,,Reader-facing facility name,non-empty
locations,country_code,string,false,,,ISO 3166-1 alpha-2 country code,2 uppercase letters
locations,location_type,string,false,,,Operational role,"plant|distribution_centre|market"
weekly_demand,week_start,date,false,composite,,Monday beginning the demand week,ISO date and Monday
weekly_demand,product_id,string,false,composite,,Product foreign key,products.product_id
weekly_demand,market_id,string,false,composite,,Market location foreign key,locations.location_id
weekly_demand,demand_cases,integer,false,,cases,Estimated unconstrained demand,non-negative
weekly_demand,sales_cases,integer,false,,cases,Fulfilled sales quantity,between 0 and demand_cases
weekly_demand,promotion_flag,boolean,false,,,Promotion active during week,true or false
weekly_demand,stockout_days,integer,false,,days,Days unavailable during week,0 to 7
inventory_snapshots,snapshot_date,date,false,composite,,Date of inventory observation,ISO date
inventory_snapshots,product_id,string,false,composite,,Product foreign key,products.product_id
inventory_snapshots,location_id,string,false,composite,,Holding location foreign key,locations.location_id
inventory_snapshots,on_hand_cases,integer,false,,cases,Usable physical stock,non-negative
inventory_snapshots,on_order_cases,integer,false,,cases,Confirmed inbound stock,non-negative
inventory_snapshots,backorder_cases,integer,false,,cases,Unfulfilled committed demand,non-negative
inventory_snapshots,unit_cost_usd,number,false,,USD/case,Valuation cost at snapshot,non-negative
forecasts,forecast_origin,date,false,composite,,Latest information date used by forecast,ISO date
forecasts,target_week,date,false,composite,,Week predicted,after forecast_origin
forecasts,product_id,string,false,composite,,Product foreign key,products.product_id
forecasts,market_id,string,false,composite,,Market location foreign key,locations.location_id
