year,initial_demand_cases,annual_growth_rate,linear_demand_cases,exponential_demand_cases,growth_factor_power,log_recovered_year,retained_inventory_pct
0,10000,0.08,10000,10000.0,1.0,0.0,100.0
1,10000,0.08,10800,10800.0,1.08,1.0,88.0
2,10000,0.08,11600,11664.0,1.1664,2.0,77.44
3,10000,0.08,12400,12597.12,1.259712,3.0,68.15
4,10000,0.08,13200,13604.89,1.360489,4.0,59.97
5,10000,0.08,14000,14693.28,1.469328,5.0,52.77
6,10000,0.08,14800,15868.74,1.586874,6.0,46.44
7,10000,0.08,15600,17138.24,1.713824,7.0,40.87
8,10000,0.08,16400,18509.3,1.85093,8.0,35.96
9,10000,0.08,17200,19990.05,1.999005,9.0,31.65
10,10000,0.08,18000,21589.25,2.158925,10.0,27.85
