x,square_value,exact_derivative,forward_difference_h_0_1,central_difference_h_0_1,tangent_at_x3,secant_h_1_0_at_x3,secant_h_0_5_at_x3,secant_h_0_1_at_x3
0.0,0.0,0.0,0.10000000000000002,0.0,-9.0,-12.0,-10.5,-9.300000000000036
0.25,0.0625,0.5,0.5999999999999998,0.4999999999999999,-7.5,-10.25,-8.875,-7.775000000000034
0.5,0.25,1.0,1.0999999999999999,0.9999999999999998,-6.0,-8.5,-7.25,-6.25000000000003
0.75,0.5625,1.5,1.5999999999999992,1.4999999999999993,-4.5,-6.75,-5.625,-4.725000000000026
1.0,1.0,2.0,2.100000000000002,2.0000000000000004,-3.0,-5.0,-4.0,-3.200000000000024
1.25,1.5625,2.5,2.6000000000000023,2.500000000000002,-1.5,-3.25,-2.375,-1.675000000000022
1.5,2.25,3.0,3.100000000000005,3.0000000000000036,0.0,-1.5,-0.75,-0.15000000000001812
1.75,3.0625,3.5,3.600000000000003,3.500000000000003,1.5,0.25,0.875,1.374999999999985
2.0,4.0,4.0,4.100000000000001,4.000000000000001,3.0,2.0,2.5,2.899999999999988
2.25,5.0625,4.5,4.6000000000000085,4.500000000000006,4.5,3.75,4.125,4.424999999999991
2.5,6.25,5.0,5.100000000000007,5.000000000000004,6.0,5.5,5.75,5.949999999999994
2.75,7.5625,5.5,5.600000000000005,5.500000000000003,7.5,7.25,7.375,7.474999999999997
3.0,9.0,6.0,6.100000000000012,6.000000000000005,9.0,9.0,9.0,9.0
3.25,10.5625,6.5,6.600000000000001,6.5000000000000036,10.5,10.75,10.625,10.525000000000002
3.5,12.25,7.0,7.1000000000000085,7.000000000000011,12.0,12.5,12.25,12.050000000000006
3.75,14.0625,7.5,7.600000000000016,7.500000000000009,13.5,14.25,13.875,13.57500000000001
4.0,16.0,8.0,8.099999999999987,7.999999999999998,15.0,16.0,15.5,15.100000000000012
4.25,18.0625,8.5,8.599999999999959,8.499999999999961,16.5,17.75,17.125,16.625000000000014
4.5,20.25,9.0,9.099999999999966,8.999999999999968,18.0,19.5,18.75,18.15000000000002
4.75,22.5625,9.5,9.599999999999973,9.499999999999975,19.5,21.25,20.375,19.675000000000022
5.0,25.0,10.0,10.09999999999998,9.999999999999964,21.0,23.0,22.0,21.200000000000024
