interval_start_hour,interval_end_hour,interval_width_hour,start_rate_cases_per_hour,end_rate_cases_per_hour,left_contribution_cases,right_contribution_cases,trapezoid_contribution_cases,cumulative_left_cases,cumulative_right_cases,cumulative_trapezoid_cases,exact_net_change_cases,exact_absolute_movement_cases
0.0,0.5,0.5,12.0,10.5,6.0,5.25,5.625,6.0,5.25,5.625,5.625,5.625
0.5,1.0,0.5,10.5,9.0,5.25,4.5,4.875,11.25,9.75,10.5,10.5,10.5
1.0,1.5,0.5,9.0,7.5,4.5,3.75,4.125,15.75,13.5,14.625,14.625,14.625
1.5,2.0,0.5,7.5,6.0,3.75,3.0,3.375,19.5,16.5,18.0,18.0,18.0
2.0,2.5,0.5,6.0,4.5,3.0,2.25,2.625,22.5,18.75,20.625,20.625,20.625
2.5,3.0,0.5,4.5,3.0,2.25,1.5,1.875,24.75,20.25,22.5,22.5,22.5
3.0,3.5,0.5,3.0,1.5,1.5,0.75,1.125,26.25,21.0,23.625,23.625,23.625
3.5,4.0,0.5,1.5,0.0,0.75,0.0,0.375,27.0,21.0,24.0,24.0,24.0
4.0,4.5,0.5,0.0,-1.5,0.0,-0.75,-0.375,27.0,20.25,23.625,23.625,24.375
4.5,5.0,0.5,-1.5,-3.0,-0.75,-1.5,-1.125,26.25,18.75,22.5,22.5,25.5
5.0,5.5,0.5,-3.0,-4.5,-1.5,-2.25,-1.875,24.75,16.5,20.625,20.625,27.375
5.5,6.0,0.5,-4.5,-6.0,-2.25,-3.0,-2.625,22.5,13.5,18.0,18.0,30.0
