store_id,region,store_format,floor_area_m2,weekly_sales_units,in_sampling_frame,selected_sample
ID-JAV-001,Java,Neighbourhood,116,1144,yes,no
ID-JAV-002,Java,Supermarket,239,1721,yes,no
ID-JAV-003,Java,Neighbourhood,81,1147,yes,no
ID-JAV-004,Java,Supermarket,243,1699,yes,no
ID-JAV-005,Java,Supermarket,244,1971,yes,no
ID-JAV-006,Java,Supermarket,228,1805,yes,no
ID-JAV-007,Java,Neighbourhood,107,1085,yes,no
ID-JAV-008,Java,Neighbourhood,125,1403,yes,no
ID-JAV-009,Java,Neighbourhood,141,1160,yes,yes
ID-JAV-010,Java,Supermarket,233,1837,yes,yes
ID-JAV-011,Java,Kiosk,37,722,yes,no
ID-JAV-012,Java,Neighbourhood,117,1080,yes,no
ID-JAV-013,Java,Neighbourhood,113,1062,yes,no
ID-JAV-014,Java,Supermarket,243,1806,yes,no
ID-JAV-015,Java,Neighbourhood,129,1114,yes,yes
ID-JAV-016,Java,Neighbourhood,106,1055,yes,no
ID-JAV-017,Java,Supermarket,234,1826,yes,no
ID-JAV-018,Java,Supermarket,255,1900,yes,no
ID-JAV-019,Java,Neighbourhood,107,1301,yes,no
ID-JAV-020,Java,Supermarket,219,2055,yes,no
ID-JAV-021,Java,Neighbourhood,116,1244,yes,no
ID-JAV-022,Java,Kiosk,34,862,yes,no
ID-JAV-023,Java,Supermarket,233,1932,yes,no
ID-JAV-024,Java,Neighbourhood,77,1168,yes,yes
ID-JAV-025,Java,Supermarket,225,1712,yes,no
ID-JAV-026,Java,Neighbourhood,142,1090,yes,no
ID-JAV-027,Java,Kiosk,36,881,yes,no
ID-JAV-028,Java,Supermarket,225,1611,yes,no
ID-JAV-029,Java,Neighbourhood,112,1123,yes,no
ID-JAV-030,Java,Supermarket,228,1848,yes,yes
ID-JAV-031,Java,Supermarket,259,1964,yes,no
ID-JAV-032,Java,Supermarket,229,1734,yes,no
ID-JAV-033,Java,Supermarket,231,1817,yes,no
ID-JAV-034,Java,Neighbourhood,126,1332,yes,no
ID-JAV-035,Java,Supermarket,206,1855,yes,no
ID-JAV-036,Java,Neighbourhood,78,837,yes,no
ID-JAV-037,Java,Supermarket,210,1701,yes,no
ID-JAV-038,Java,Neighbourhood,104,1226,yes,no
ID-JAV-039,Java,Supermarket,224,1724,yes,no
ID-JAV-040,Java,Kiosk,25,970,yes,no
ID-JAV-041,Java,Neighbourhood,113,1137,yes,yes
ID-JAV-042,Java,Neighbourhood,112,1154,yes,no
ID-JAV-043,Java,Kiosk,52,951,yes,no
ID-JAV-044,Java,Neighbourhood,140,1309,yes,no
ID-JAV-045,Java,Neighbourhood,118,940,yes,no
ID-JAV-046,Java,Neighbourhood,103,1328,yes,no
ID-JAV-047,Java,Kiosk,38,918,yes,no
ID-JAV-048,Java,Neighbourhood,137,1133,yes,no
ID-JAV-049,Java,Neighbourhood,80,1103,yes,no
ID-JAV-050,Java,Neighbourhood,96,1049,yes,yes
ID-JAV-051,Java,Neighbourhood,89,1161,yes,no
ID-JAV-052,Java,Neighbourhood,98,1219,yes,no
ID-JAV-053,Java,Kiosk,20,650,yes,no
ID-JAV-054,Java,Supermarket,222,1942,yes,no
ID-JAV-055,Java,Supermarket,232,1886,yes,no
ID-JAV-056,Java,Neighbourhood,122,1200,yes,no
ID-JAV-057,Java,Neighbourhood,117,1126,yes,no
ID-JAV-058,Java,Kiosk,29,740,yes,no
ID-JAV-059,Java,Neighbourhood,121,1126,yes,no
ID-JAV-060,Java,Supermarket,219,1683,yes,no
ID-JAV-061,Java,Neighbourhood,95,1141,yes,no
ID-JAV-062,Java,Kiosk,50,850,yes,no
ID-JAV-063,Java,Neighbourhood,123,1184,yes,no
ID-JAV-064,Java,Supermarket,255,1709,yes,no
ID-JAV-065,Java,Neighbourhood,84,1077,no,no
ID-JAV-066,Java,Supermarket,223,1842,yes,no
ID-JAV-067,Java,Neighbourhood,115,1213,no,no
ID-JAV-068,Java,Neighbourhood,113,1153,yes,no
ID-JAV-069,Java,Supermarket,240,1799,yes,yes
ID-JAV-070,Java,Neighbourhood,146,1263,yes,no
ID-JAV-071,Java,Kiosk,64,756,yes,no
ID-JAV-072,Java,Neighbourhood,95,1207,yes,no
ID-JAV-073,Java,Neighbourhood,119,1206,yes,no
ID-JAV-074,Java,Supermarket,233,1850,yes,no
ID-JAV-075,Java,Neighbourhood,100,1005,yes,no
