reading_id,warehouse_code,satisfaction_level,ambient_temperature_c,reference_weight_kg,biased_scale_weight_kg,biased_signed_error_kg,unbiased_scale_weight_kg,unbiased_signed_error_kg,biased_absolute_error_kg
M-001,JKT,1,22.83,10.0,10.646,0.646,10.261,0.261,0.646
M-002,SBY,2,23.64,12.308,12.557,0.249,12.016,-0.292,0.249
M-003,MDN,3,24.4,14.615,15.173,0.558,14.624,0.008,0.558
M-004,MKS,4,25.09,16.923,17.561,0.638,16.93,0.007,0.638
M-005,JKT,5,25.7,19.231,19.581,0.35,19.447,0.216,0.35
M-006,SBY,1,26.21,21.538,22.008,0.47,21.69,0.152,0.47
M-007,MDN,2,26.6,23.846,24.024,0.178,24.089,0.243,0.178
M-008,MKS,3,26.86,26.154,26.551,0.397,26.149,-0.004,0.397
M-009,JKT,4,26.99,28.462,28.698,0.237,28.53,0.068,0.237
M-010,SBY,5,26.98,30.769,31.213,0.444,30.855,0.086,0.444
M-011,MDN,1,26.83,33.077,33.527,0.45,32.997,-0.08,0.45
M-012,MKS,2,26.55,35.385,35.763,0.378,35.437,0.053,0.378
M-013,JKT,3,26.14,37.692,38.044,0.352,37.878,0.185,0.352
M-014,SBY,4,25.62,40.0,40.183,0.183,39.89,-0.11,0.183
M-015,MDN,5,24.99,42.308,42.464,0.156,42.024,-0.284,0.156
M-016,MKS,1,24.29,44.615,45.172,0.557,44.263,-0.353,0.557
M-017,JKT,2,23.52,46.923,46.964,0.04,46.799,-0.124,0.04
M-018,SBY,3,22.71,49.231,49.867,0.636,49.358,0.127,0.636
M-019,MDN,4,21.87,51.538,51.986,0.447,51.894,0.356,0.447
M-020,MKS,5,21.05,53.846,53.913,0.067,54.669,0.823,0.067
M-021,JKT,1,20.25,56.154,56.671,0.517,55.718,-0.435,0.517
M-022,SBY,2,19.49,58.462,58.555,0.093,58.574,0.112,0.093
M-023,MDN,3,18.81,60.769,60.904,0.135,60.489,-0.28,0.135
M-024,MKS,4,18.22,63.077,63.151,0.074,63.013,-0.064,0.074
M-025,JKT,5,17.73,65.385,65.875,0.49,65.587,0.202,0.49
M-026,SBY,1,17.35,67.692,68.342,0.649,67.591,-0.101,0.649
M-027,MDN,2,17.11,70.0,70.527,0.527,69.767,-0.233,0.527
M-028,MKS,3,17.01,72.308,72.713,0.405,72.242,-0.066,0.405
M-029,JKT,4,17.04,74.615,75.469,0.854,74.812,0.197,0.854
M-030,SBY,5,17.21,76.923,77.035,0.112,76.866,-0.057,0.112
M-031,MDN,1,17.51,79.231,79.666,0.436,79.383,0.152,0.436
M-032,MKS,2,17.93,81.538,82.063,0.525,81.71,0.172,0.525
M-033,JKT,3,18.47,83.846,84.315,0.469,84.119,0.273,0.469
M-034,SBY,4,19.11,86.154,86.675,0.521,85.838,-0.316,0.521
M-035,MDN,5,19.83,88.462,88.988,0.527,88.141,-0.321,0.527
M-036,MKS,1,20.6,90.769,91.161,0.392,90.647,-0.123,0.392
M-037,JKT,2,21.42,93.077,93.663,0.586,92.765,-0.311,0.586
M-038,SBY,3,22.25,95.385,95.259,-0.125,95.129,-0.255,0.125
M-039,MDN,4,23.08,97.692,98.291,0.599,97.865,0.173,0.599
M-040,MKS,5,23.87,100.0,100.594,0.594,100.067,0.067,0.594
