observation_id,scenario,delivery_days,review_outcome,retained_in_analysis
SYM-001,Symmetric routine,4.49,Routine observation,Yes
SYM-002,Symmetric routine,3.84,Routine observation,Yes
SYM-003,Symmetric routine,6.38,Routine observation,Yes
SYM-004,Symmetric routine,7.3,Routine observation,Yes
SYM-005,Symmetric routine,2.97,Routine observation,Yes
SYM-006,Symmetric routine,6.14,Routine observation,Yes
SYM-007,Symmetric routine,4.92,Routine observation,Yes
SYM-008,Symmetric routine,5.63,Routine observation,Yes
SYM-009,Symmetric routine,5.64,Routine observation,Yes
SYM-010,Symmetric routine,6.64,Routine observation,Yes
SYM-011,Symmetric routine,8.02,Routine observation,Yes
SYM-012,Symmetric routine,5.94,Routine observation,Yes
SYM-013,Symmetric routine,4.98,Routine observation,Yes
SYM-014,Symmetric routine,3.65,Routine observation,Yes
SYM-015,Symmetric routine,4.71,Routine observation,Yes
SYM-016,Symmetric routine,5.09,Routine observation,Yes
SYM-017,Symmetric routine,4.58,Routine observation,Yes
SYM-018,Symmetric routine,4.65,Routine observation,Yes
SYM-019,Symmetric routine,4.73,Routine observation,Yes
SYM-020,Symmetric routine,5.32,Routine observation,Yes
SYM-021,Symmetric routine,5.29,Routine observation,Yes
SYM-022,Symmetric routine,5.4,Routine observation,Yes
SYM-023,Symmetric routine,4.55,Routine observation,Yes
SYM-024,Symmetric routine,5.17,Routine observation,Yes
SYM-025,Symmetric routine,5.33,Routine observation,Yes
SYM-026,Symmetric routine,4.85,Routine observation,Yes
SYM-027,Symmetric routine,4.37,Routine observation,Yes
SYM-028,Symmetric routine,6.39,Routine observation,Yes
SYM-029,Symmetric routine,6.22,Routine observation,Yes
SYM-030,Symmetric routine,2.77,Routine observation,Yes
SYM-031,Symmetric routine,5.68,Routine observation,Yes
SYM-032,Symmetric routine,3.15,Routine observation,Yes
SYM-033,Symmetric routine,4.88,Routine observation,Yes
SYM-034,Symmetric routine,4.76,Routine observation,Yes
SYM-035,Symmetric routine,5.14,Routine observation,Yes
SYM-036,Symmetric routine,4.97,Routine observation,Yes
SYM-037,Symmetric routine,5.14,Routine observation,Yes
SYM-038,Symmetric routine,3.26,Routine observation,Yes
SYM-039,Symmetric routine,3.5,Routine observation,Yes
SYM-040,Symmetric routine,5.69,Routine observation,Yes
SYM-041,Symmetric routine,5.58,Routine observation,Yes
SYM-042,Symmetric routine,6.23,Routine observation,Yes
SYM-043,Symmetric routine,3.59,Routine observation,Yes
SYM-044,Symmetric routine,5.52,Routine observation,Yes
SYM-045,Symmetric routine,6.92,Routine observation,Yes
SYM-046,Symmetric routine,6.13,Routine observation,Yes
SYM-047,Symmetric routine,2.98,Routine observation,Yes
SYM-048,Symmetric routine,4.31,Routine observation,Yes
SYM-049,Symmetric routine,5.09,Routine observation,Yes
SYM-050,Symmetric routine,4.11,Routine observation,Yes
SYM-051,Symmetric routine,4.16,Routine observation,Yes
SYM-052,Symmetric routine,6.46,Routine observation,Yes
SYM-053,Symmetric routine,5.69,Routine observation,Yes
SYM-054,Symmetric routine,4.86,Routine observation,Yes
SYM-055,Symmetric routine,6.16,Routine observation,Yes
SYM-056,Symmetric routine,4.91,Routine observation,Yes
SYM-057,Symmetric routine,3.16,Routine observation,Yes
SYM-058,Symmetric routine,3.84,Routine observation,Yes
SYM-059,Symmetric routine,4.57,Routine observation,Yes
SYM-060,Symmetric routine,5.35,Routine observation,Yes
RIG-001,Right-skewed waiting,4.0,Routine observation,Yes
RIG-002,Right-skewed waiting,1.34,Routine observation,Yes
RIG-003,Right-skewed waiting,1.09,Routine observation,Yes
RIG-004,Right-skewed waiting,5.3,Routine observation,Yes
RIG-005,Right-skewed waiting,4.06,Routine observation,Yes
RIG-006,Right-skewed waiting,2.06,Routine observation,Yes
RIG-007,Right-skewed waiting,4.91,Routine observation,Yes
RIG-008,Right-skewed waiting,2.09,Routine observation,Yes
RIG-009,Right-skewed waiting,2.53,Routine observation,Yes
RIG-010,Right-skewed waiting,2.07,Routine observation,Yes
RIG-011,Right-skewed waiting,4.58,Routine observation,Yes
RIG-012,Right-skewed waiting,3.26,Routine observation,Yes
RIG-013,Right-skewed waiting,1.34,Routine observation,Yes
RIG-014,Right-skewed waiting,2.85,Routine observation,Yes
RIG-015,Right-skewed waiting,0.87,Routine observation,Yes
RIG-016,Right-skewed waiting,5.13,Routine observation,Yes
RIG-017,Right-skewed waiting,3.4,Routine observation,Yes
RIG-018,Right-skewed waiting,8.18,Routine observation,Yes
RIG-019,Right-skewed waiting,1.38,Routine observation,Yes
RIG-020,Right-skewed waiting,4.79,Routine observation,Yes
RIG-021,Right-skewed waiting,4.36,Routine observation,Yes
RIG-022,Right-skewed waiting,4.98,Routine observation,Yes
RIG-023,Right-skewed waiting,4.17,Routine observation,Yes
RIG-024,Right-skewed waiting,1.69,Routine observation,Yes
