sample_size,replicate_id,sample_mean_weekly_units,population_mean_weekly_units,population_sd_weekly_units,theoretical_se_units,sampling_method
1,1,425.6,1041.901,612.589,612.589,Independent sampling with replacement
1,2,431.2,1041.901,612.589,612.589,Independent sampling with replacement
1,3,860.8,1041.901,612.589,612.589,Independent sampling with replacement
1,4,816.0,1041.901,612.589,612.589,Independent sampling with replacement
1,5,900.8,1041.901,612.589,612.589,Independent sampling with replacement
1,6,1247.9,1041.901,612.589,612.589,Independent sampling with replacement
1,7,904.6,1041.901,612.589,612.589,Independent sampling with replacement
1,8,853.2,1041.901,612.589,612.589,Independent sampling with replacement
1,9,1711.4,1041.901,612.589,612.589,Independent sampling with replacement
1,10,834.2,1041.901,612.589,612.589,Independent sampling with replacement
1,11,574.0,1041.901,612.589,612.589,Independent sampling with replacement
1,12,269.5,1041.901,612.589,612.589,Independent sampling with replacement
1,13,536.3,1041.901,612.589,612.589,Independent sampling with replacement
1,14,2039.7,1041.901,612.589,612.589,Independent sampling with replacement
1,15,1042.5,1041.901,612.589,612.589,Independent sampling with replacement
1,16,1111.4,1041.901,612.589,612.589,Independent sampling with replacement
1,17,1227.6,1041.901,612.589,612.589,Independent sampling with replacement
1,18,1269.1,1041.901,612.589,612.589,Independent sampling with replacement
1,19,784.3,1041.901,612.589,612.589,Independent sampling with replacement
1,20,1002.5,1041.901,612.589,612.589,Independent sampling with replacement
1,21,1072.8,1041.901,612.589,612.589,Independent sampling with replacement
1,22,1063.4,1041.901,612.589,612.589,Independent sampling with replacement
1,23,723.5,1041.901,612.589,612.589,Independent sampling with replacement
1,24,2265.2,1041.901,612.589,612.589,Independent sampling with replacement
1,25,829.4,1041.901,612.589,612.589,Independent sampling with replacement
1,26,1517.9,1041.901,612.589,612.589,Independent sampling with replacement
1,27,600.6,1041.901,612.589,612.589,Independent sampling with replacement
1,28,1068.1,1041.901,612.589,612.589,Independent sampling with replacement
1,29,1380.2,1041.901,612.589,612.589,Independent sampling with replacement
1,30,1118.7,1041.901,612.589,612.589,Independent sampling with replacement
1,31,1240.4,1041.901,612.589,612.589,Independent sampling with replacement
1,32,900.2,1041.901,612.589,612.589,Independent sampling with replacement
1,33,1439.9,1041.901,612.589,612.589,Independent sampling with replacement
1,34,441.9,1041.901,612.589,612.589,Independent sampling with replacement
1,35,666.6,1041.901,612.589,612.589,Independent sampling with replacement
1,36,655.6,1041.901,612.589,612.589,Independent sampling with replacement
1,37,1479.2,1041.901,612.589,612.589,Independent sampling with replacement
1,38,1089.7,1041.901,612.589,612.589,Independent sampling with replacement
1,39,2039.6,1041.901,612.589,612.589,Independent sampling with replacement
1,40,1151.6,1041.901,612.589,612.589,Independent sampling with replacement
1,41,489.7,1041.901,612.589,612.589,Independent sampling with replacement
1,42,680.4,1041.901,612.589,612.589,Independent sampling with replacement
1,43,827.6,1041.901,612.589,612.589,Independent sampling with replacement
1,44,1243.8,1041.901,612.589,612.589,Independent sampling with replacement
