replicate_id,sample_size,sample_mean_weekly_units,standard_error_units,margin_of_error_units,ci_lower_units,ci_upper_units,covers_population_mean,population_mean_weekly_units
1,40,1035.866,28.46,55.783,980.084,1091.649,Yes,1000.0
2,40,1006.352,28.46,55.783,950.569,1062.134,Yes,1000.0
3,40,1037.925,28.46,55.783,982.142,1093.708,Yes,1000.0
4,40,959.637,28.46,55.783,903.855,1015.42,Yes,1000.0
5,40,992.236,28.46,55.783,936.453,1048.019,Yes,1000.0
6,40,1001.901,28.46,55.783,946.118,1057.683,Yes,1000.0
7,40,1007.144,28.46,55.783,951.361,1062.927,Yes,1000.0
8,40,1007.761,28.46,55.783,951.978,1063.543,Yes,1000.0
9,40,949.895,28.46,55.783,894.113,1005.678,Yes,1000.0
10,40,1030.964,28.46,55.783,975.182,1086.747,Yes,1000.0
11,40,983.99,28.46,55.783,928.208,1039.773,Yes,1000.0
12,40,1016.625,28.46,55.783,960.842,1072.407,Yes,1000.0
13,40,1010.951,28.46,55.783,955.169,1066.734,Yes,1000.0
14,40,1012.779,28.46,55.783,956.997,1068.562,Yes,1000.0
15,40,1002.431,28.46,55.783,946.649,1058.214,Yes,1000.0
16,40,1037.928,28.46,55.783,982.146,1093.711,Yes,1000.0
17,40,974.452,28.46,55.783,918.669,1030.234,Yes,1000.0
18,40,986.321,28.46,55.783,930.539,1042.104,Yes,1000.0
19,40,976.748,28.46,55.783,920.965,1032.53,Yes,1000.0
20,40,1084.785,28.46,55.783,1029.002,1140.568,No,1000.0
21,40,1033.79,28.46,55.783,978.008,1089.573,Yes,1000.0
22,40,985.387,28.46,55.783,929.604,1041.17,Yes,1000.0
23,40,942.844,28.46,55.783,887.062,998.627,No,1000.0
24,40,1001.808,28.46,55.783,946.025,1057.59,Yes,1000.0
25,40,1031.117,28.46,55.783,975.335,1086.9,Yes,1000.0
26,40,996.135,28.46,55.783,940.352,1051.917,Yes,1000.0
27,40,951.259,28.46,55.783,895.476,1007.041,Yes,1000.0
28,40,998.221,28.46,55.783,942.439,1054.004,Yes,1000.0
29,40,966.364,28.46,55.783,910.581,1022.146,Yes,1000.0
30,40,990.615,28.46,55.783,934.833,1046.398,Yes,1000.0
31,40,977.158,28.46,55.783,921.375,1032.94,Yes,1000.0
32,40,1002.727,28.46,55.783,946.945,1058.51,Yes,1000.0
33,40,980.422,28.46,55.783,924.639,1036.204,Yes,1000.0
34,40,1019.422,28.46,55.783,963.639,1075.205,Yes,1000.0
35,40,1018.512,28.46,55.783,962.73,1074.295,Yes,1000.0
36,40,1020.257,28.46,55.783,964.475,1076.04,Yes,1000.0
37,40,950.684,28.46,55.783,894.901,1006.467,Yes,1000.0
38,40,1016.964,28.46,55.783,961.182,1072.747,Yes,1000.0
39,40,994.351,28.46,55.783,938.569,1050.134,Yes,1000.0
40,40,973.81,28.46,55.783,918.027,1029.593,Yes,1000.0
41,40,1008.807,28.46,55.783,953.024,1064.589,Yes,1000.0
42,40,979.403,28.46,55.783,923.62,1035.186,Yes,1000.0
43,40,1022.464,28.46,55.783,966.681,1078.246,Yes,1000.0
44,40,969.758,28.46,55.783,913.975,1025.54,Yes,1000.0
45,40,984.164,28.46,55.783,928.381,1039.946,Yes,1000.0
46,40,958.449,28.46,55.783,902.666,1014.231,Yes,1000.0
47,40,973.826,28.46,55.783,918.043,1029.609,Yes,1000.0
48,40,1008.578,28.46,55.783,952.796,1064.361,Yes,1000.0
49,40,992.628,28.46,55.783,936.846,1048.411,Yes,1000.0
50,40,1041.899,28.46,55.783,986.116,1097.682,Yes,1000.0
51,40,1014.341,28.46,55.783,958.559,1070.124,Yes,1000.0
52,40,935.356,28.46,55.783,879.573,991.138,No,1000.0
53,40,940.643,28.46,55.783,884.861,996.426,No,1000.0
54,40,1036.794,28.46,55.783,981.011,1092.577,Yes,1000.0
55,40,1030.161,28.46,55.783,974.378,1085.943,Yes,1000.0
56,40,1004.447,28.46,55.783,948.665,1060.23,Yes,1000.0
57,40,1042.865,28.46,55.783,987.082,1098.647,Yes,1000.0
58,40,998.236,28.46,55.783,942.453,1054.018,Yes,1000.0
59,40,968.515,28.46,55.783,912.732,1024.298,Yes,1000.0
60,40,960.748,28.46,55.783,904.966,1016.531,Yes,1000.0
61,40,1022.283,28.46,55.783,966.501,1078.066,Yes,1000.0
62,40,989.702,28.46,55.783,933.92,1045.485,Yes,1000.0
63,40,1009.061,28.46,55.783,953.278,1064.843,Yes,1000.0
64,40,1004.906,28.46,55.783,949.123,1060.688,Yes,1000.0
65,40,989.303,28.46,55.783,933.521,1045.086,Yes,1000.0
66,40,971.377,28.46,55.783,915.595,1027.16,Yes,1000.0
67,40,1000.633,28.46,55.783,944.85,1056.416,Yes,1000.0
68,40,1024.226,28.46,55.783,968.444,1080.009,Yes,1000.0
69,40,1001.603,28.46,55.783,945.821,1057.386,Yes,1000.0
70,40,1001.377,28.46,55.783,945.594,1057.16,Yes,1000.0
71,40,1001.72,28.46,55.783,945.938,1057.503,Yes,1000.0
72,40,1003.641,28.46,55.783,947.859,1059.424,Yes,1000.0
73,40,1018.353,28.46,55.783,962.571,1074.136,Yes,1000.0
74,40,1005.907,28.46,55.783,950.124,1061.689,Yes,1000.0
75,40,999.113,28.46,55.783,943.331,1054.896,Yes,1000.0
76,40,1026.651,28.46,55.783,970.869,1082.434,Yes,1000.0
77,40,1019.546,28.46,55.783,963.764,1075.329,Yes,1000.0
78,40,999.428,28.46,55.783,943.645,1055.211,Yes,1000.0
