scenario,permutation_id,null_effect_units,observed_effect_units,standard_error_units,practical_threshold_units,as_or_more_extreme,simulated_two_sided_p_value,practically_meaningful
Precise small effect,1,0.0936,0.8,0.2,2.0,No,0.0005,No
Precise small effect,2,-0.262,0.8,0.2,2.0,No,0.0005,No
Precise small effect,3,0.1864,0.8,0.2,2.0,No,0.0005,No
Precise small effect,4,0.0393,0.8,0.2,2.0,No,0.0005,No
Precise small effect,5,0.1052,0.8,0.2,2.0,No,0.0005,No
Precise small effect,6,-0.0976,0.8,0.2,2.0,No,0.0005,No
Precise small effect,7,-0.0041,0.8,0.2,2.0,No,0.0005,No
Precise small effect,8,0.0626,0.8,0.2,2.0,No,0.0005,No
Precise small effect,9,-0.1416,0.8,0.2,2.0,No,0.0005,No
Precise small effect,10,0.0268,0.8,0.2,2.0,No,0.0005,No
Precise small effect,11,0.0095,0.8,0.2,2.0,No,0.0005,No
Precise small effect,12,0.0076,0.8,0.2,2.0,No,0.0005,No
Precise small effect,13,0.1801,0.8,0.2,2.0,No,0.0005,No
Precise small effect,14,-0.2022,0.8,0.2,2.0,No,0.0005,No
Precise small effect,15,0.1402,0.8,0.2,2.0,No,0.0005,No
Precise small effect,16,0.2137,0.8,0.2,2.0,No,0.0005,No
Precise small effect,17,-0.1579,0.8,0.2,2.0,No,0.0005,No
Precise small effect,18,0.07,0.8,0.2,2.0,No,0.0005,No
Precise small effect,19,-0.089,0.8,0.2,2.0,No,0.0005,No
Precise small effect,20,0.0336,0.8,0.2,2.0,No,0.0005,No
Precise small effect,21,0.284,0.8,0.2,2.0,No,0.0005,No
Precise small effect,22,0.0317,0.8,0.2,2.0,No,0.0005,No
Precise small effect,23,-0.2723,0.8,0.2,2.0,No,0.0005,No
Precise small effect,24,-0.0597,0.8,0.2,2.0,No,0.0005,No
Precise small effect,25,0.0925,0.8,0.2,2.0,No,0.0005,No
Precise small effect,26,0.1609,0.8,0.2,2.0,No,0.0005,No
Precise small effect,27,0.1098,0.8,0.2,2.0,No,0.0005,No
Precise small effect,28,-0.0588,0.8,0.2,2.0,No,0.0005,No
Precise small effect,29,-0.2708,0.8,0.2,2.0,No,0.0005,No
Precise small effect,30,0.0491,0.8,0.2,2.0,No,0.0005,No
Precise small effect,31,-0.2558,0.8,0.2,2.0,No,0.0005,No
Precise small effect,32,-0.1209,0.8,0.2,2.0,No,0.0005,No
Precise small effect,33,-0.2687,0.8,0.2,2.0,No,0.0005,No
Precise small effect,34,-0.118,0.8,0.2,2.0,No,0.0005,No
Precise small effect,35,0.0434,0.8,0.2,2.0,No,0.0005,No
Precise small effect,36,0.2073,0.8,0.2,2.0,No,0.0005,No
Precise small effect,37,0.1623,0.8,0.2,2.0,No,0.0005,No
Precise small effect,38,-0.0778,0.8,0.2,2.0,No,0.0005,No
Precise small effect,39,-0.2811,0.8,0.2,2.0,No,0.0005,No
Precise small effect,40,-0.0297,0.8,0.2,2.0,No,0.0005,No
Precise small effect,41,-0.0328,0.8,0.2,2.0,No,0.0005,No
Precise small effect,42,-0.0504,0.8,0.2,2.0,No,0.0005,No
Precise small effect,43,-0.3049,0.8,0.2,2.0,No,0.0005,No
Precise small effect,44,0.1465,0.8,0.2,2.0,No,0.0005,No
Precise small effect,45,-0.1953,0.8,0.2,2.0,No,0.0005,No
Precise small effect,46,0.2423,0.8,0.2,2.0,No,0.0005,No
Precise small effect,47,-0.0008,0.8,0.2,2.0,No,0.0005,No
Precise small effect,48,0.0081,0.8,0.2,2.0,No,0.0005,No
Precise small effect,49,0.1834,0.8,0.2,2.0,No,0.0005,No
Precise small effect,50,-0.0919,0.8,0.2,2.0,No,0.0005,No
Precise small effect,51,0.0067,0.8,0.2,2.0,No,0.0005,No
Precise small effect,52,0.1222,0.8,0.2,2.0,No,0.0005,No
Precise small effect,53,-0.0231,0.8,0.2,2.0,No,0.0005,No
Precise small effect,54,-0.0507,0.8,0.2,2.0,No,0.0005,No
Precise small effect,55,-0.2124,0.8,0.2,2.0,No,0.0005,No
Precise small effect,56,0.159,0.8,0.2,2.0,No,0.0005,No
Precise small effect,57,-0.0786,0.8,0.2,2.0,No,0.0005,No
Precise small effect,58,-0.1418,0.8,0.2,2.0,No,0.0005,No
Precise small effect,59,-0.129,0.8,0.2,2.0,No,0.0005,No
Precise small effect,60,-0.4677,0.8,0.2,2.0,No,0.0005,No
Precise small effect,61,-0.0105,0.8,0.2,2.0,No,0.0005,No
Precise small effect,62,-0.1926,0.8,0.2,2.0,No,0.0005,No
Precise small effect,63,0.2953,0.8,0.2,2.0,No,0.0005,No
Precise small effect,64,0.004,0.8,0.2,2.0,No,0.0005,No
Precise small effect,65,-0.1565,0.8,0.2,2.0,No,0.0005,No
Precise small effect,66,-0.2696,0.8,0.2,2.0,No,0.0005,No
Precise small effect,67,0.1417,0.8,0.2,2.0,No,0.0005,No
Precise small effect,68,-0.1115,0.8,0.2,2.0,No,0.0005,No
Precise small effect,69,0.2185,0.8,0.2,2.0,No,0.0005,No
Precise small effect,70,-0.1379,0.8,0.2,2.0,No,0.0005,No
Precise small effect,71,0.2356,0.8,0.2,2.0,No,0.0005,No
Precise small effect,72,-0.112,0.8,0.2,2.0,No,0.0005,No
Precise small effect,73,-0.2427,0.8,0.2,2.0,No,0.0005,No
Precise small effect,74,-0.2296,0.8,0.2,2.0,No,0.0005,No
Precise small effect,75,0.0559,0.8,0.2,2.0,No,0.0005,No
Precise small effect,76,0.0418,0.8,0.2,2.0,No,0.0005,No
Precise small effect,77,-0.0528,0.8,0.2,2.0,No,0.0005,No
Precise small effect,78,-0.0179,0.8,0.2,2.0,No,0.0005,No
Precise small effect,79,0.3485,0.8,0.2,2.0,No,0.0005,No
Precise small effect,80,0.1201,0.8,0.2,2.0,No,0.0005,No
Precise small effect,81,-0.0429,0.8,0.2,2.0,No,0.0005,No
Precise small effect,82,0.0857,0.8,0.2,2.0,No,0.0005,No
Precise small effect,83,0.024,0.8,0.2,2.0,No,0.0005,No
Precise small effect,84,0.0002,0.8,0.2,2.0,No,0.0005,No
Precise small effect,85,0.194,0.8,0.2,2.0,No,0.0005,No
Precise small effect,86,0.1885,0.8,0.2,2.0,No,0.0005,No
Precise small effect,87,0.2285,0.8,0.2,2.0,No,0.0005,No
Precise small effect,88,0.1553,0.8,0.2,2.0,No,0.0005,No
Precise small effect,89,-0.0796,0.8,0.2,2.0,No,0.0005,No
Precise small effect,90,-0.023,0.8,0.2,2.0,No,0.0005,No
Precise small effect,91,0.2229,0.8,0.2,2.0,No,0.0005,No
Precise small effect,92,-0.1538,0.8,0.2,2.0,No,0.0005,No
Precise small effect,93,-0.1246,0.8,0.2,2.0,No,0.0005,No
Precise small effect,94,0.2437,0.8,0.2,2.0,No,0.0005,No
Precise small effect,95,0.2322,0.8,0.2,2.0,No,0.0005,No
Precise small effect,96,-0.0737,0.8,0.2,2.0,No,0.0005,No
Precise small effect,97,0.2683,0.8,0.2,2.0,No,0.0005,No
Precise small effect,98,-0.0282,0.8,0.2,2.0,No,0.0005,No
Precise small effect,99,-0.1569,0.8,0.2,2.0,No,0.0005,No
Precise small effect,100,-0.0487,0.8,0.2,2.0,No,0.0005,No
Precise small effect,101,-0.1362,0.8,0.2,2.0,No,0.0005,No
Precise small effect,102,0.0733,0.8,0.2,2.0,No,0.0005,No
Precise small effect,103,-0.0809,0.8,0.2,2.0,No,0.0005,No
Precise small effect,104,-0.288,0.8,0.2,2.0,No,0.0005,No
Precise small effect,105,-0.1068,0.8,0.2,2.0,No,0.0005,No
Precise small effect,106,-0.0445,0.8,0.2,2.0,No,0.0005,No
Precise small effect,107,-0.0557,0.8,0.2,2.0,No,0.0005,No
Precise small effect,108,-0.1319,0.8,0.2,2.0,No,0.0005,No
Precise small effect,109,0.0957,0.8,0.2,2.0,No,0.0005,No
Precise small effect,110,0.0577,0.8,0.2,2.0,No,0.0005,No
Precise small effect,111,-0.2773,0.8,0.2,2.0,No,0.0005,No
Precise small effect,112,0.0485,0.8,0.2,2.0,No,0.0005,No
Precise small effect,113,0.0699,0.8,0.2,2.0,No,0.0005,No
Precise small effect,114,0.0735,0.8,0.2,2.0,No,0.0005,No
Precise small effect,115,-0.1266,0.8,0.2,2.0,No,0.0005,No
Precise small effect,116,0.0829,0.8,0.2,2.0,No,0.0005,No
Precise small effect,117,-0.2299,0.8,0.2,2.0,No,0.0005,No
Precise small effect,118,-0.1933,0.8,0.2,2.0,No,0.0005,No
Precise small effect,119,0.0851,0.8,0.2,2.0,No,0.0005,No
Precise small effect,120,0.2801,0.8,0.2,2.0,No,0.0005,No
Precise small effect,121,0.3191,0.8,0.2,2.0,No,0.0005,No
Precise small effect,122,-0.0313,0.8,0.2,2.0,No,0.0005,No
Precise small effect,123,-0.3105,0.8,0.2,2.0,No,0.0005,No
Precise small effect,124,-0.3832,0.8,0.2,2.0,No,0.0005,No
Precise small effect,125,-0.0459,0.8,0.2,2.0,No,0.0005,No
Precise small effect,126,-0.4374,0.8,0.2,2.0,No,0.0005,No
Precise small effect,127,-0.1363,0.8,0.2,2.0,No,0.0005,No
Precise small effect,128,0.0976,0.8,0.2,2.0,No,0.0005,No
Precise small effect,129,0.1501,0.8,0.2,2.0,No,0.0005,No
Precise small effect,130,-0.2117,0.8,0.2,2.0,No,0.0005,No
Precise small effect,131,0.1924,0.8,0.2,2.0,No,0.0005,No
Precise small effect,132,0.1114,0.8,0.2,2.0,No,0.0005,No
Precise small effect,133,0.0305,0.8,0.2,2.0,No,0.0005,No
Precise small effect,134,-0.1566,0.8,0.2,2.0,No,0.0005,No
Precise small effect,135,-0.1645,0.8,0.2,2.0,No,0.0005,No
Precise small effect,136,0.1806,0.8,0.2,2.0,No,0.0005,No
Precise small effect,137,-0.0006,0.8,0.2,2.0,No,0.0005,No
Precise small effect,138,-0.056,0.8,0.2,2.0,No,0.0005,No
Precise small effect,139,0.0108,0.8,0.2,2.0,No,0.0005,No
Precise small effect,140,0.159,0.8,0.2,2.0,No,0.0005,No
Precise small effect,141,0.1905,0.8,0.2,2.0,No,0.0005,No
Precise small effect,142,-0.1483,0.8,0.2,2.0,No,0.0005,No
Precise small effect,143,-0.2925,0.8,0.2,2.0,No,0.0005,No
Precise small effect,144,0.0596,0.8,0.2,2.0,No,0.0005,No
Precise small effect,145,-0.1952,0.8,0.2,2.0,No,0.0005,No
Precise small effect,146,-0.4367,0.8,0.2,2.0,No,0.0005,No
Precise small effect,147,0.0295,0.8,0.2,2.0,No,0.0005,No
Precise small effect,148,-0.203,0.8,0.2,2.0,No,0.0005,No
Precise small effect,149,0.017,0.8,0.2,2.0,No,0.0005,No
Precise small effect,150,-0.1154,0.8,0.2,2.0,No,0.0005,No
Precise small effect,151,0.1102,0.8,0.2,2.0,No,0.0005,No
Precise small effect,152,0.2293,0.8,0.2,2.0,No,0.0005,No
Precise small effect,153,0.0749,0.8,0.2,2.0,No,0.0005,No
Precise small effect,154,-0.2453,0.8,0.2,2.0,No,0.0005,No
Precise small effect,155,0.2247,0.8,0.2,2.0,No,0.0005,No
Precise small effect,156,-0.1662,0.8,0.2,2.0,No,0.0005,No
Precise small effect,157,-0.0397,0.8,0.2,2.0,No,0.0005,No
Precise small effect,158,-0.1367,0.8,0.2,2.0,No,0.0005,No
Precise small effect,159,-0.1811,0.8,0.2,2.0,No,0.0005,No
Precise small effect,160,0.0076,0.8,0.2,2.0,No,0.0005,No
Precise small effect,161,-0.3219,0.8,0.2,2.0,No,0.0005,No
Precise small effect,162,0.2118,0.8,0.2,2.0,No,0.0005,No
