standardized_effect_d,effect_delivery_days,sample_size_per_group,total_sample_size,alpha_two_sided,planned_power,assumed_sd_days,minimum_practical_effect_days,meets_80_percent_power,practically_meaningful
0.1,0.4,10,20,0.05,0.055747,4.0,1.0,No,No
0.1,0.4,20,40,0.05,0.061533,4.0,1.0,No,No
0.1,0.4,30,60,0.05,0.067354,4.0,1.0,No,No
0.1,0.4,40,80,0.05,0.07321,4.0,1.0,No,No
0.1,0.4,50,100,0.05,0.079098,4.0,1.0,No,No
0.1,0.4,60,120,0.05,0.085016,4.0,1.0,No,No
0.1,0.4,70,140,0.05,0.090962,4.0,1.0,No,No
0.1,0.4,80,160,0.05,0.096935,4.0,1.0,No,No
0.1,0.4,90,180,0.05,0.102933,4.0,1.0,No,No
0.1,0.4,100,200,0.05,0.108955,4.0,1.0,No,No
0.1,0.4,110,220,0.05,0.114997,4.0,1.0,No,No
0.1,0.4,120,240,0.05,0.121059,4.0,1.0,No,No
0.1,0.4,130,260,0.05,0.12714,4.0,1.0,No,No
0.1,0.4,140,280,0.05,0.133236,4.0,1.0,No,No
0.1,0.4,150,300,0.05,0.139348,4.0,1.0,No,No
0.1,0.4,160,320,0.05,0.145473,4.0,1.0,No,No
0.1,0.4,170,340,0.05,0.151609,4.0,1.0,No,No
0.1,0.4,180,360,0.05,0.157756,4.0,1.0,No,No
0.1,0.4,190,380,0.05,0.163912,4.0,1.0,No,No
0.1,0.4,200,400,0.05,0.170075,4.0,1.0,No,No
0.2,0.8,10,20,0.05,0.07321,4.0,1.0,No,No
0.2,0.8,20,40,0.05,0.096935,4.0,1.0,No,No
0.2,0.8,30,60,0.05,0.121059,4.0,1.0,No,No
0.2,0.8,40,80,0.05,0.145473,4.0,1.0,No,No
0.2,0.8,50,100,0.05,0.170075,4.0,1.0,No,No
0.2,0.8,60,120,0.05,0.194775,4.0,1.0,No,No
0.2,0.8,70,140,0.05,0.219489,4.0,1.0,No,No
0.2,0.8,80,160,0.05,0.244141,4.0,1.0,No,No
0.2,0.8,90,180,0.05,0.268662,4.0,1.0,No,No
0.2,0.8,100,200,0.05,0.292989,4.0,1.0,No,No
0.2,0.8,110,220,0.05,0.317067,4.0,1.0,No,No
0.2,0.8,120,240,0.05,0.340845,4.0,1.0,No,No
0.2,0.8,130,260,0.05,0.36428,4.0,1.0,No,No
0.2,0.8,140,280,0.05,0.387332,4.0,1.0,No,No
0.2,0.8,150,300,0.05,0.409968,4.0,1.0,No,No
0.2,0.8,160,320,0.05,0.432158,4.0,1.0,No,No
0.2,0.8,170,340,0.05,0.453876,4.0,1.0,No,No
0.2,0.8,180,360,0.05,0.475101,4.0,1.0,No,No
0.2,0.8,190,380,0.05,0.495816,4.0,1.0,No,No
0.2,0.8,200,400,0.05,0.516005,4.0,1.0,No,No
0.4,1.6,10,20,0.05,0.145473,4.0,1.0,No,Yes
0.4,1.6,20,40,0.05,0.244141,4.0,1.0,No,Yes
0.4,1.6,30,60,0.05,0.340845,4.0,1.0,No,Yes
0.4,1.6,40,80,0.05,0.432158,4.0,1.0,No,Yes
0.4,1.6,50,100,0.05,0.516005,4.0,1.0,No,Yes
0.4,1.6,60,120,0.05,0.591331,4.0,1.0,No,Yes
0.4,1.6,70,140,0.05,0.657808,4.0,1.0,No,Yes
0.4,1.6,80,160,0.05,0.715617,4.0,1.0,No,Yes
0.4,1.6,90,180,0.05,0.765259,4.0,1.0,No,Yes
0.4,1.6,100,200,0.05,0.80743,4.0,1.0,Yes,Yes
0.4,1.6,110,220,0.05,0.842917,4.0,1.0,Yes,Yes
0.4,1.6,120,240,0.05,0.872528,4.0,1.0,Yes,Yes
0.4,1.6,130,260,0.05,0.897054,4.0,1.0,Yes,Yes
0.4,1.6,140,280,0.05,0.91723,4.0,1.0,Yes,Yes
0.4,1.6,150,300,0.05,0.933727,4.0,1.0,Yes,Yes
0.4,1.6,160,320,0.05,0.947141,4.0,1.0,Yes,Yes
0.4,1.6,170,340,0.05,0.957993,4.0,1.0,Yes,Yes
0.4,1.6,180,360,0.05,0.96673,4.0,1.0,Yes,Yes
0.4,1.6,190,380,0.05,0.973734,4.0,1.0,Yes,Yes
0.4,1.6,200,400,0.05,0.979327,4.0,1.0,Yes,Yes
0.6,2.4,10,20,0.05,0.268662,4.0,1.0,No,Yes
0.6,2.4,20,40,0.05,0.475101,4.0,1.0,No,Yes
0.6,2.4,30,60,0.05,0.642015,4.0,1.0,No,Yes
0.6,2.4,40,80,0.05,0.765259,4.0,1.0,No,Yes
0.6,2.4,50,100,0.05,0.850839,4.0,1.0,Yes,Yes
0.6,2.4,60,120,0.05,0.907642,4.0,1.0,Yes,Yes
0.6,2.4,70,140,0.05,0.944047,4.0,1.0,Yes,Yes
0.6,2.4,80,160,0.05,0.96673,4.0,1.0,Yes,Yes
0.6,2.4,90,180,0.05,0.980537,4.0,1.0,Yes,Yes
0.6,2.4,100,200,0.05,0.988775,4.0,1.0,Yes,Yes
0.6,2.4,110,220,0.05,0.993608,4.0,1.0,Yes,Yes
0.6,2.4,120,240,0.05,0.996402,4.0,1.0,Yes,Yes
0.6,2.4,130,260,0.05,0.997995,4.0,1.0,Yes,Yes
