scenario,route_id,distance_km,delivery_time_minutes,fitted_time_minutes,residual_minutes,is_influential_demo
linear,LIN-01,5,29.0,35.470968,-6.470968,No
linear,LIN-02,6,40.6,37.09366,3.50634,No
linear,LIN-03,7,37.2,38.716352,-1.516352,No
linear,LIN-04,8,46.8,40.339043,6.460957,No
linear,LIN-05,9,38.4,41.961735,-3.561735,No
linear,LIN-06,10,45.0,43.584427,1.415573,No
linear,LIN-07,11,50.6,45.207119,5.392881,No
linear,LIN-08,12,42.2,46.829811,-4.629811,No
linear,LIN-09,13,50.8,48.452503,2.347497,No
linear,LIN-10,14,49.4,50.075195,-0.675195,No
linear,LIN-11,15,45.0,51.697887,-6.697887,No
linear,LIN-12,16,56.6,53.320578,3.279422,No
linear,LIN-13,17,53.2,54.94327,-1.74327,No
linear,LIN-14,18,62.8,56.565962,6.234038,No
linear,LIN-15,19,54.4,58.188654,-3.788654,No
linear,LIN-16,20,61.0,59.811346,1.188654,No
linear,LIN-17,21,66.6,61.434038,5.165962,No
linear,LIN-18,22,58.2,63.05673,-4.85673,No
linear,LIN-19,23,66.8,64.679422,2.120578,No
linear,LIN-20,24,65.4,66.302113,-0.902113,No
linear,LIN-21,25,61.0,67.924805,-6.924805,No
linear,LIN-22,26,72.6,69.547497,3.052503,No
linear,LIN-23,27,69.2,71.170189,-1.970189,No
linear,LIN-24,28,78.8,72.792881,6.007119,No
linear,LIN-25,29,70.4,74.415573,-4.015573,No
linear,LIN-26,30,77.0,76.038265,0.961735,No
linear,LIN-27,31,82.6,77.660957,4.939043,No
linear,LIN-28,32,74.2,79.283648,-5.083648,No
linear,LIN-29,33,82.8,80.90634,1.89366,No
linear,LIN-30,34,81.4,82.529032,-1.129032,No
curvature,CUR-01,5,33.045,27.866505,5.178495,No
curvature,CUR-02,6,36.27,29.139448,7.130552,No
curvature,CUR-03,7,34.355,30.41239,3.94261,No
curvature,CUR-04,8,37.1,31.685332,5.414668,No
curvature,CUR-05,9,33.655,32.958274,0.696726,No
curvature,CUR-06,10,35.57,34.231216,1.338784,No
curvature,CUR-07,11,37.245,35.504158,1.740842,No
curvature,CUR-08,12,34.13,36.7771,-2.6471,No
curvature,CUR-09,13,37.075,38.050043,-0.975043,No
curvature,CUR-10,14,36.63,39.322985,-2.692985,No
curvature,CUR-11,15,35.245,40.595927,-5.350927,No
curvature,CUR-12,16,39.57,41.868869,-2.298869,No
curvature,CUR-13,17,38.755,43.141811,-4.386811,No
curvature,CUR-14,18,42.6,44.414753,-1.814753,No
curvature,CUR-15,19,40.255,45.687696,-5.432696,No
curvature,CUR-16,20,43.27,46.960638,-3.690638,No
curvature,CUR-17,21,46.045,48.23358,-2.18858,No
curvature,CUR-18,22,44.03,49.506522,-5.476522,No
curvature,CUR-19,23,48.075,50.779464,-2.704464,No
curvature,CUR-20,24,48.73,52.052406,-3.322406,No
curvature,CUR-21,25,48.445,53.325349,-4.880349,No
curvature,CUR-22,26,53.87,54.598291,-0.728291,No
curvature,CUR-23,27,54.155,55.871233,-1.716233,No
curvature,CUR-24,28,59.1,57.144175,1.955825,No
curvature,CUR-25,29,57.855,58.417117,-0.562117,No
curvature,CUR-26,30,61.97,59.690059,2.279941,No
curvature,CUR-27,31,65.845,60.963001,4.881999,No
curvature,CUR-28,32,64.93,62.235944,2.694056,No
curvature,CUR-29,33,70.075,63.508886,6.566114,No
curvature,CUR-30,34,71.83,64.781828,7.048172,No
unequal_spread,UNE-01,5,34.25,35.801723,-1.551723,No
unequal_spread,UNE-02,6,38.538,37.406783,1.131217,No
unequal_spread,UNE-03,7,38.45,39.011844,-0.561844,No
unequal_spread,UNE-04,8,43.425,40.616904,2.808096,No
unequal_spread,UNE-05,9,40.4,42.221965,-1.821965,No
unequal_spread,UNE-06,10,44.562,43.827025,0.734975,No
unequal_spread,UNE-07,11,48.725,45.432086,3.292914,No
unequal_spread,UNE-08,12,43.763,47.037146,-3.274146,No
unequal_spread,UNE-09,13,50.3,48.642207,1.657793,No
unequal_spread,UNE-10,14,49.588,50.247267,-0.659267,No
unequal_spread,UNE-11,15,45.875,51.852328,-5.977328,No
unequal_spread,UNE-12,16,56.413,53.457388,2.955612,No
unequal_spread,UNE-13,17,53.2,55.062449,-1.862449,No
unequal_spread,UNE-14,18,63.175,56.667509,6.507491,No
unequal_spread,UNE-15,19,53.9,58.27257,-4.37257,No
unequal_spread,UNE-16,20,61.188,59.87763,1.31037,No
unequal_spread,UNE-17,21,67.85,61.482691,6.367309,No
unequal_spread,UNE-18,22,56.638,63.087751,-6.449751,No
unequal_spread,UNE-19,23,67.55,64.692812,2.857188,No
unequal_spread,UNE-20,24,64.963,66.297872,-1.334872,No
unequal_spread,UNE-21,25,57.5,67.902933,-10.402933,No
unequal_spread,UNE-22,26,74.287,69.507993,4.779007,No
unequal_spread,UNE-23,27,67.95,71.113054,-3.163054,No
unequal_spread,UNE-24,28,82.925,72.718114,10.206886,No
unequal_spread,UNE-25,29,67.4,74.323175,-6.923175,No
unequal_spread,UNE-26,30,77.812,75.928235,1.883765,No
unequal_spread,UNE-27,31,86.975,77.533296,9.441704,No
unequal_spread,UNE-28,32,69.513,79.138356,-9.625356,No
unequal_spread,UNE-29,33,84.8,80.743417,4.056583,No
unequal_spread,UNE-30,34,80.338,82.348477,-2.010477,No
influence,INF-01,70,75,,,Yes
