shipment_id,shift,warehouse,late_delivery,picking_minutes,distributor_rating
SHP-001,Morning,Jakarta,Yes,14.88,5
SHP-002,Morning,Surabaya,No,15.78,5
SHP-003,Morning,Medan,No,16.58,4
SHP-004,Morning,Jakarta,No,17.18,5
SHP-005,Morning,Surabaya,No,17.68,4
SHP-006,Morning,Medan,Yes,18.08,4
SHP-007,Morning,Jakarta,No,18.38,5
SHP-008,Morning,Surabaya,No,18.58,4
SHP-009,Morning,Medan,No,18.88,4
SHP-010,Morning,Jakarta,No,19.18,5
SHP-011,Morning,Surabaya,Yes,19.48,4
SHP-012,Morning,Medan,No,19.78,3
SHP-013,Morning,Jakarta,No,20.08,4
SHP-014,Morning,Surabaya,No,20.48,3
SHP-015,Morning,Medan,No,20.98,3
SHP-016,Morning,Jakarta,Yes,14.88,5
SHP-017,Morning,Surabaya,No,15.78,5
SHP-018,Morning,Medan,No,16.58,4
SHP-019,Morning,Jakarta,No,17.18,5
SHP-020,Morning,Surabaya,No,17.68,4
SHP-021,Morning,Medan,Yes,18.08,4
SHP-022,Morning,Jakarta,No,18.38,5
SHP-023,Morning,Surabaya,No,18.58,4
SHP-024,Morning,Medan,No,18.88,4
SHP-025,Morning,Jakarta,No,19.18,5
SHP-026,Morning,Surabaya,Yes,19.48,4
SHP-027,Morning,Medan,No,19.78,3
SHP-028,Morning,Jakarta,No,20.08,4
SHP-029,Morning,Surabaya,No,20.48,3
SHP-030,Morning,Medan,No,20.98,3
SHP-031,Evening,Surabaya,No,16.58,5
SHP-032,Evening,Medan,No,17.48,4
SHP-033,Evening,Jakarta,No,18.28,4
SHP-034,Evening,Surabaya,No,18.88,5
SHP-035,Evening,Medan,Yes,19.38,4
SHP-036,Evening,Jakarta,No,19.78,3
SHP-037,Evening,Surabaya,No,20.08,4
SHP-038,Evening,Medan,No,20.28,3
SHP-039,Evening,Jakarta,No,20.58,3
SHP-040,Evening,Surabaya,Yes,20.88,4
SHP-041,Evening,Medan,No,21.18,3
SHP-042,Evening,Jakarta,No,21.48,3
SHP-043,Evening,Surabaya,No,21.78,4
SHP-044,Evening,Medan,No,22.18,3
SHP-045,Evening,Jakarta,Yes,22.68,2
SHP-046,Evening,Surabaya,No,16.58,5
SHP-047,Evening,Medan,No,17.48,4
SHP-048,Evening,Jakarta,No,18.28,4
SHP-049,Evening,Surabaya,No,18.88,5
SHP-050,Evening,Medan,Yes,19.38,4
SHP-051,Evening,Jakarta,No,19.78,3
SHP-052,Evening,Surabaya,No,20.08,4
SHP-053,Evening,Medan,No,20.28,3
SHP-054,Evening,Jakarta,No,20.58,3
SHP-055,Evening,Surabaya,Yes,20.88,4
SHP-056,Evening,Medan,No,21.18,3
SHP-057,Evening,Jakarta,No,21.48,3
SHP-058,Evening,Surabaya,No,21.78,4
SHP-059,Evening,Medan,No,22.18,3
SHP-060,Evening,Jakarta,Yes,22.68,2
SHP-061,Night,Medan,No,19.48,5
SHP-062,Night,Jakarta,No,20.38,3
SHP-063,Night,Surabaya,Yes,21.18,3
SHP-064,Night,Medan,Yes,21.78,4
SHP-065,Night,Jakarta,No,22.28,3
SHP-066,Night,Surabaya,No,22.68,2
SHP-067,Night,Medan,No,22.98,3
SHP-068,Night,Jakarta,Yes,23.18,2
SHP-069,Night,Surabaya,Yes,23.48,2
SHP-070,Night,Medan,No,23.78,3
SHP-071,Night,Jakarta,No,24.08,2
SHP-072,Night,Surabaya,No,24.38,2
SHP-073,Night,Medan,Yes,24.68,3
SHP-074,Night,Jakarta,Yes,25.08,2
SHP-075,Night,Surabaya,No,25.58,1
SHP-076,Night,Medan,No,19.48,5
SHP-077,Night,Jakarta,No,20.38,3
SHP-078,Night,Surabaya,Yes,21.18,3
SHP-079,Night,Medan,Yes,21.78,4
SHP-080,Night,Jakarta,No,22.28,3
SHP-081,Night,Surabaya,No,22.68,2
SHP-082,Night,Medan,No,22.98,3
SHP-083,Night,Jakarta,Yes,23.18,2
SHP-084,Night,Surabaya,Yes,23.48,2
SHP-085,Night,Medan,No,23.78,3
SHP-086,Night,Jakarta,No,24.08,2
SHP-087,Night,Surabaya,No,24.38,2
SHP-088,Night,Medan,Yes,24.68,3
SHP-089,Night,Jakarta,Yes,25.08,2
SHP-090,Night,Surabaya,No,25.58,1
