account_id,region,account_tier,randomization_block,assignment,block_arm_index,completed_order_7d,correction_request,support_contact
ACC-0001,Java,Standard,Java-Standard,Control,1,Yes,Yes,No
ACC-0002,Java,Standard,Java-Standard,Control,2,Yes,Yes,No
ACC-0003,Java,Standard,Java-Standard,Control,3,Yes,Yes,No
ACC-0004,Java,Standard,Java-Standard,Control,4,Yes,Yes,No
ACC-0005,Java,Standard,Java-Standard,Control,5,Yes,Yes,No
ACC-0006,Java,Standard,Java-Standard,Control,6,Yes,No,Yes
ACC-0007,Java,Standard,Java-Standard,Control,7,Yes,No,Yes
ACC-0008,Java,Standard,Java-Standard,Control,8,Yes,No,Yes
ACC-0009,Java,Standard,Java-Standard,Control,9,Yes,No,Yes
ACC-0010,Java,Standard,Java-Standard,Control,10,Yes,No,Yes
ACC-0011,Java,Standard,Java-Standard,Control,11,Yes,No,Yes
ACC-0012,Java,Standard,Java-Standard,Control,12,Yes,No,No
ACC-0013,Java,Standard,Java-Standard,Control,13,Yes,No,No
ACC-0014,Java,Standard,Java-Standard,Control,14,Yes,No,No
ACC-0015,Java,Standard,Java-Standard,Control,15,Yes,No,No
ACC-0016,Java,Standard,Java-Standard,Control,16,Yes,No,No
ACC-0017,Java,Standard,Java-Standard,Control,17,Yes,No,No
ACC-0018,Java,Standard,Java-Standard,Control,18,Yes,No,No
ACC-0019,Java,Standard,Java-Standard,Control,19,Yes,No,No
ACC-0020,Java,Standard,Java-Standard,Control,20,Yes,No,No
ACC-0021,Java,Standard,Java-Standard,Control,21,Yes,No,No
ACC-0022,Java,Standard,Java-Standard,Control,22,Yes,No,No
ACC-0023,Java,Standard,Java-Standard,Control,23,Yes,No,No
ACC-0024,Java,Standard,Java-Standard,Control,24,Yes,No,No
ACC-0025,Java,Standard,Java-Standard,Control,25,Yes,No,No
ACC-0026,Java,Standard,Java-Standard,Control,26,Yes,No,No
ACC-0027,Java,Standard,Java-Standard,Control,27,Yes,No,No
ACC-0028,Java,Standard,Java-Standard,Control,28,Yes,No,No
ACC-0029,Java,Standard,Java-Standard,Control,29,Yes,No,No
ACC-0030,Java,Standard,Java-Standard,Control,30,Yes,No,No
ACC-0031,Java,Standard,Java-Standard,Control,31,Yes,No,No
ACC-0032,Java,Standard,Java-Standard,Control,32,Yes,No,No
ACC-0033,Java,Standard,Java-Standard,Control,33,Yes,No,No
ACC-0034,Java,Standard,Java-Standard,Control,34,Yes,No,No
ACC-0035,Java,Standard,Java-Standard,Control,35,Yes,No,No
ACC-0036,Java,Standard,Java-Standard,Control,36,Yes,No,No
ACC-0037,Java,Standard,Java-Standard,Control,37,Yes,No,No
ACC-0038,Java,Standard,Java-Standard,Control,38,Yes,No,No
ACC-0039,Java,Standard,Java-Standard,Control,39,Yes,No,No
ACC-0040,Java,Standard,Java-Standard,Control,40,Yes,No,No
ACC-0041,Java,Standard,Java-Standard,Control,41,Yes,No,No
ACC-0042,Java,Standard,Java-Standard,Control,42,Yes,No,No
ACC-0043,Java,Standard,Java-Standard,Control,43,Yes,No,No
ACC-0044,Java,Standard,Java-Standard,Control,44,Yes,No,No
ACC-0045,Java,Standard,Java-Standard,Control,45,Yes,No,No
ACC-0046,Java,Standard,Java-Standard,Control,46,Yes,No,No
ACC-0047,Java,Standard,Java-Standard,Control,47,Yes,No,No
ACC-0048,Java,Standard,Java-Standard,Control,48,Yes,No,No
ACC-0049,Java,Standard,Java-Standard,Control,49,Yes,No,No
ACC-0050,Java,Standard,Java-Standard,Control,50,Yes,No,No
ACC-0051,Java,Standard,Java-Standard,Control,51,Yes,No,No
ACC-0052,Java,Standard,Java-Standard,Control,52,Yes,No,No
ACC-0053,Java,Standard,Java-Standard,Control,53,Yes,No,No
ACC-0054,Java,Standard,Java-Standard,Control,54,Yes,No,No
ACC-0055,Java,Standard,Java-Standard,Control,55,Yes,No,No
ACC-0056,Java,Standard,Java-Standard,Control,56,Yes,No,No
ACC-0057,Java,Standard,Java-Standard,Control,57,Yes,No,No
