shipment_id,facility_type,temperature_c,temperature_missing,urgent_shipment,premium_freight,late_delivery,dispatch_time,final_exception_code,exception_available_time
SHP-001,Company,,Yes,Yes,Yes,Yes,2025-01-01T08:00:00,LATE,2025-01-02T02:00:00
SHP-002,Company,,Yes,No,No,No,2025-01-01T11:00:00,NONE,2025-01-02T06:00:00
SHP-003,Company,,Yes,No,No,No,2025-01-01T14:00:00,NONE,2025-01-02T10:00:00
SHP-004,Company,,Yes,No,No,No,2025-01-01T17:00:00,NONE,2025-01-02T14:00:00
SHP-005,Company,,Yes,No,No,No,2025-01-01T20:00:00,NONE,2025-01-02T18:00:00
SHP-006,Company,,Yes,Yes,Yes,No,2025-01-01T23:00:00,NONE,2025-01-02T22:00:00
SHP-007,Company,,Yes,No,No,No,2025-01-02T02:00:00,NONE,2025-01-03T02:00:00
SHP-008,Company,5.95,No,No,Yes,Yes,2025-01-02T05:00:00,LATE,2025-01-03T06:00:00
SHP-009,Company,6.2,No,No,No,No,2025-01-02T08:00:00,NONE,2025-01-03T02:00:00
SHP-010,Company,4.2,No,No,No,No,2025-01-02T11:00:00,NONE,2025-01-03T06:00:00
SHP-011,Company,4.45,No,Yes,Yes,Yes,2025-01-02T14:00:00,LATE,2025-01-03T10:00:00
SHP-012,Company,4.7,No,No,No,No,2025-01-02T17:00:00,NONE,2025-01-03T14:00:00
SHP-013,Company,4.95,No,No,No,No,2025-01-02T20:00:00,NONE,2025-01-03T18:00:00
SHP-014,Company,5.2,No,No,No,No,2025-01-02T23:00:00,NONE,2025-01-03T22:00:00
SHP-015,Company,5.45,No,No,Yes,No,2025-01-03T02:00:00,NONE,2025-01-04T02:00:00
SHP-016,Company,5.7,No,Yes,Yes,No,2025-01-03T05:00:00,NONE,2025-01-04T06:00:00
SHP-017,Company,5.95,No,No,No,No,2025-01-03T08:00:00,NONE,2025-01-04T02:00:00
SHP-018,Company,6.2,No,No,No,Yes,2025-01-03T11:00:00,LATE,2025-01-04T06:00:00
SHP-019,Company,4.2,No,No,No,No,2025-01-03T14:00:00,NONE,2025-01-04T10:00:00
SHP-020,Company,4.45,No,No,No,No,2025-01-03T17:00:00,NONE,2025-01-04T14:00:00
SHP-021,Company,4.7,No,Yes,Yes,Yes,2025-01-03T20:00:00,LATE,2025-01-04T18:00:00
SHP-022,Company,4.95,No,No,Yes,No,2025-01-03T23:00:00,NONE,2025-01-04T22:00:00
SHP-023,Company,5.2,No,No,No,No,2025-01-04T02:00:00,NONE,2025-01-05T02:00:00
SHP-024,Company,5.45,No,No,No,No,2025-01-04T05:00:00,NONE,2025-01-05T06:00:00
SHP-025,Company,5.7,No,No,No,No,2025-01-04T08:00:00,NONE,2025-01-05T02:00:00
SHP-026,Company,5.95,No,Yes,Yes,No,2025-01-04T11:00:00,NONE,2025-01-05T06:00:00
SHP-027,Company,6.2,No,No,No,No,2025-01-04T14:00:00,NONE,2025-01-05T10:00:00
SHP-028,Company,4.2,No,No,No,Yes,2025-01-04T17:00:00,LATE,2025-01-05T14:00:00
SHP-029,Company,4.45,No,No,Yes,No,2025-01-04T20:00:00,NONE,2025-01-05T18:00:00
SHP-030,Company,4.7,No,No,No,No,2025-01-04T23:00:00,NONE,2025-01-05T22:00:00
SHP-031,Company,4.95,No,Yes,Yes,Yes,2025-01-05T02:00:00,LATE,2025-01-06T02:00:00
SHP-032,Company,5.2,No,No,No,No,2025-01-05T05:00:00,NONE,2025-01-06T06:00:00
SHP-033,Company,5.45,No,No,No,No,2025-01-05T08:00:00,NONE,2025-01-06T02:00:00
SHP-034,Company,5.7,No,No,No,No,2025-01-05T11:00:00,NONE,2025-01-06T06:00:00
SHP-035,Company,5.95,No,No,No,No,2025-01-05T14:00:00,NONE,2025-01-06T10:00:00
SHP-036,Company,6.2,No,Yes,Yes,No,2025-01-05T17:00:00,NONE,2025-01-06T14:00:00
SHP-037,Company,4.2,No,No,No,No,2025-01-05T20:00:00,NONE,2025-01-06T18:00:00
SHP-038,Company,4.45,No,No,No,Yes,2025-01-05T23:00:00,LATE,2025-01-06T22:00:00
SHP-039,Company,4.7,No,No,No,No,2025-01-06T02:00:00,NONE,2025-01-07T02:00:00
SHP-040,Company,4.95,No,No,No,No,2025-01-06T05:00:00,NONE,2025-01-07T06:00:00
SHP-041,Company,5.2,No,Yes,Yes,Yes,2025-01-06T08:00:00,LATE,2025-01-07T02:00:00
SHP-042,Company,5.45,No,No,No,No,2025-01-06T11:00:00,NONE,2025-01-07T06:00:00
SHP-043,Company,5.7,No,No,Yes,No,2025-01-06T14:00:00,NONE,2025-01-07T10:00:00
SHP-044,Company,5.95,No,No,No,No,2025-01-06T17:00:00,NONE,2025-01-07T14:00:00
SHP-045,Company,6.2,No,No,No,No,2025-01-06T20:00:00,NONE,2025-01-07T18:00:00
SHP-046,Company,4.2,No,Yes,Yes,No,2025-01-06T23:00:00,NONE,2025-01-07T22:00:00
SHP-047,Company,4.45,No,No,No,No,2025-01-07T02:00:00,NONE,2025-01-08T02:00:00
SHP-048,Company,4.7,No,No,No,Yes,2025-01-07T05:00:00,LATE,2025-01-08T06:00:00
SHP-049,Company,4.95,No,No,No,No,2025-01-07T08:00:00,NONE,2025-01-08T02:00:00
SHP-050,Company,5.2,No,No,Yes,No,2025-01-07T11:00:00,NONE,2025-01-08T06:00:00
SHP-051,Company,5.45,No,Yes,Yes,Yes,2025-01-07T14:00:00,LATE,2025-01-08T10:00:00
SHP-052,Company,5.7,No,No,No,No,2025-01-07T17:00:00,NONE,2025-01-08T14:00:00
SHP-053,Company,5.95,No,No,No,No,2025-01-07T20:00:00,NONE,2025-01-08T18:00:00
SHP-054,Company,6.2,No,No,No,No,2025-01-07T23:00:00,NONE,2025-01-08T22:00:00
SHP-055,Company,4.2,No,No,No,No,2025-01-08T02:00:00,NONE,2025-01-09T02:00:00
SHP-056,Company,4.45,No,Yes,Yes,No,2025-01-08T05:00:00,NONE,2025-01-09T06:00:00
SHP-057,Company,4.7,No,No,Yes,No,2025-01-08T08:00:00,NONE,2025-01-09T02:00:00
SHP-058,Company,4.95,No,No,No,Yes,2025-01-08T11:00:00,LATE,2025-01-09T06:00:00
SHP-059,Company,5.2,No,No,No,No,2025-01-08T14:00:00,NONE,2025-01-09T10:00:00
SHP-060,Company,5.45,No,No,No,No,2025-01-08T17:00:00,NONE,2025-01-09T14:00:00
SHP-061,Company,5.7,No,Yes,Yes,Yes,2025-01-08T20:00:00,LATE,2025-01-09T18:00:00
SHP-062,Company,5.95,No,No,No,No,2025-01-08T23:00:00,NONE,2025-01-09T22:00:00
SHP-063,Company,6.2,No,No,No,No,2025-01-09T02:00:00,NONE,2025-01-10T02:00:00
SHP-064,Company,4.2,No,No,Yes,No,2025-01-09T05:00:00,NONE,2025-01-10T06:00:00
SHP-065,Company,4.45,No,No,No,No,2025-01-09T08:00:00,NONE,2025-01-10T02:00:00
SHP-066,Company,4.7,No,Yes,Yes,No,2025-01-09T11:00:00,NONE,2025-01-10T06:00:00
SHP-067,Company,4.95,No,No,No,No,2025-01-09T14:00:00,NONE,2025-01-10T10:00:00
SHP-068,Company,5.2,No,No,No,Yes,2025-01-09T17:00:00,LATE,2025-01-10T14:00:00
SHP-069,Company,5.45,No,No,No,No,2025-01-09T20:00:00,NONE,2025-01-10T18:00:00
SHP-070,Company,5.7,No,No,No,No,2025-01-09T23:00:00,NONE,2025-01-10T22:00:00
SHP-071,Company,5.95,No,Yes,Yes,Yes,2025-01-10T02:00:00,LATE,2025-01-11T02:00:00
SHP-072,Company,6.2,No,No,No,No,2025-01-10T05:00:00,NONE,2025-01-11T06:00:00
SHP-073,Company,4.2,No,No,No,No,2025-01-10T08:00:00,NONE,2025-01-11T02:00:00
SHP-074,Company,4.45,No,No,No,No,2025-01-10T11:00:00,NONE,2025-01-11T06:00:00
SHP-075,Company,4.7,No,No,No,No,2025-01-10T14:00:00,NONE,2025-01-11T10:00:00
SHP-076,Company,4.95,No,Yes,Yes,No,2025-01-10T17:00:00,NONE,2025-01-11T14:00:00
SHP-077,Company,5.2,No,No,No,No,2025-01-10T20:00:00,NONE,2025-01-11T18:00:00
SHP-078,Company,5.45,No,No,Yes,Yes,2025-01-10T23:00:00,LATE,2025-01-11T22:00:00
SHP-079,Company,5.7,No,No,No,No,2025-01-11T02:00:00,NONE,2025-01-12T02:00:00
SHP-080,Company,5.95,No,No,No,No,2025-01-11T05:00:00,NONE,2025-01-12T06:00:00
SHP-081,Company,6.2,No,Yes,Yes,Yes,2025-01-11T08:00:00,LATE,2025-01-12T02:00:00
SHP-082,Company,4.2,No,No,No,No,2025-01-11T11:00:00,NONE,2025-01-12T06:00:00
SHP-083,Company,4.45,No,No,No,No,2025-01-11T14:00:00,NONE,2025-01-12T10:00:00
SHP-084,Company,4.7,No,No,No,No,2025-01-11T17:00:00,NONE,2025-01-12T14:00:00
SHP-085,Company,4.95,No,No,Yes,No,2025-01-11T20:00:00,NONE,2025-01-12T18:00:00
SHP-086,Company,5.2,No,Yes,Yes,No,2025-01-11T23:00:00,NONE,2025-01-12T22:00:00
SHP-087,Company,5.45,No,No,No,No,2025-01-12T02:00:00,NONE,2025-01-13T02:00:00
SHP-088,Company,5.7,No,No,No,Yes,2025-01-12T05:00:00,LATE,2025-01-13T06:00:00
SHP-089,Company,5.95,No,No,No,No,2025-01-12T08:00:00,NONE,2025-01-13T02:00:00
SHP-090,Company,6.2,No,No,No,No,2025-01-12T11:00:00,NONE,2025-01-13T06:00:00
SHP-091,Company,4.2,No,Yes,Yes,Yes,2025-01-12T14:00:00,LATE,2025-01-13T10:00:00
SHP-092,Company,4.45,No,No,Yes,No,2025-01-12T17:00:00,NONE,2025-01-13T14:00:00
SHP-093,Company,4.7,No,No,No,No,2025-01-12T20:00:00,NONE,2025-01-13T18:00:00
SHP-094,Company,4.95,No,No,No,No,2025-01-12T23:00:00,NONE,2025-01-13T22:00:00
SHP-095,Company,5.2,No,No,No,No,2025-01-13T02:00:00,NONE,2025-01-14T02:00:00
SHP-096,Company,5.45,No,Yes,Yes,No,2025-01-13T05:00:00,NONE,2025-01-14T06:00:00
SHP-097,Company,5.7,No,No,No,No,2025-01-13T08:00:00,NONE,2025-01-14T02:00:00
SHP-098,Company,5.95,No,No,No,Yes,2025-01-13T11:00:00,LATE,2025-01-14T06:00:00
SHP-099,Company,6.2,No,No,Yes,No,2025-01-13T14:00:00,NONE,2025-01-14T10:00:00
SHP-100,Company,4.2,No,No,No,No,2025-01-13T17:00:00,NONE,2025-01-14T14:00:00
SHP-101,Third-party,,Yes,Yes,Yes,Yes,2025-01-13T20:00:00,LATE,2025-01-14T14:00:00
SHP-102,Third-party,,Yes,No,No,No,2025-01-13T23:00:00,NONE,2025-01-14T18:00:00
SHP-103,Third-party,,Yes,No,No,No,2025-01-14T02:00:00,NONE,2025-01-14T22:00:00
SHP-104,Third-party,,Yes,No,No,Yes,2025-01-14T05:00:00,LATE,2025-01-15T02:00:00
SHP-105,Third-party,,Yes,No,No,No,2025-01-14T08:00:00,NONE,2025-01-15T06:00:00
SHP-106,Third-party,,Yes,Yes,Yes,No,2025-01-14T11:00:00,NONE,2025-01-15T10:00:00
SHP-107,Third-party,,Yes,No,No,No,2025-01-14T14:00:00,NONE,2025-01-15T14:00:00
SHP-108,Third-party,,Yes,No,Yes,No,2025-01-14T17:00:00,NONE,2025-01-15T18:00:00
SHP-109,Third-party,,Yes,No,No,No,2025-01-14T20:00:00,NONE,2025-01-15T14:00:00
SHP-110,Third-party,,Yes,No,No,No,2025-01-14T23:00:00,NONE,2025-01-15T18:00:00
SHP-111,Third-party,,Yes,Yes,Yes,Yes,2025-01-15T02:00:00,LATE,2025-01-15T22:00:00
SHP-112,Third-party,,Yes,No,No,No,2025-01-15T05:00:00,NONE,2025-01-16T02:00:00
SHP-113,Third-party,,Yes,No,No,No,2025-01-15T08:00:00,NONE,2025-01-16T06:00:00
SHP-114,Third-party,,Yes,No,No,Yes,2025-01-15T11:00:00,LATE,2025-01-16T10:00:00
SHP-115,Third-party,,Yes,No,Yes,No,2025-01-15T14:00:00,NONE,2025-01-16T14:00:00
SHP-116,Third-party,,Yes,Yes,Yes,No,2025-01-15T17:00:00,NONE,2025-01-16T18:00:00
SHP-117,Third-party,,Yes,No,No,No,2025-01-15T20:00:00,NONE,2025-01-16T14:00:00
SHP-118,Third-party,,Yes,No,No,No,2025-01-15T23:00:00,NONE,2025-01-16T18:00:00
SHP-119,Third-party,,Yes,No,No,No,2025-01-16T02:00:00,NONE,2025-01-16T22:00:00
SHP-120,Third-party,,Yes,No,No,No,2025-01-16T05:00:00,NONE,2025-01-17T02:00:00
SHP-121,Third-party,,Yes,Yes,Yes,Yes,2025-01-16T08:00:00,LATE,2025-01-17T06:00:00
SHP-122,Third-party,,Yes,No,Yes,No,2025-01-16T11:00:00,NONE,2025-01-17T10:00:00
SHP-123,Third-party,,Yes,No,No,No,2025-01-16T14:00:00,NONE,2025-01-17T14:00:00
SHP-124,Third-party,,Yes,No,No,Yes,2025-01-16T17:00:00,LATE,2025-01-17T18:00:00
SHP-125,Third-party,,Yes,No,No,No,2025-01-16T20:00:00,NONE,2025-01-17T14:00:00
SHP-126,Third-party,,Yes,Yes,Yes,No,2025-01-16T23:00:00,NONE,2025-01-17T18:00:00
SHP-127,Third-party,,Yes,No,No,No,2025-01-17T02:00:00,NONE,2025-01-17T22:00:00
SHP-128,Third-party,,Yes,No,No,No,2025-01-17T05:00:00,NONE,2025-01-18T02:00:00
SHP-129,Third-party,,Yes,No,Yes,No,2025-01-17T08:00:00,NONE,2025-01-18T06:00:00
SHP-130,Third-party,,Yes,No,No,No,2025-01-17T11:00:00,NONE,2025-01-18T10:00:00
SHP-131,Third-party,,Yes,Yes,Yes,Yes,2025-01-17T14:00:00,LATE,2025-01-18T14:00:00
SHP-132,Third-party,,Yes,No,No,No,2025-01-17T17:00:00,NONE,2025-01-18T18:00:00
SHP-133,Third-party,,Yes,No,No,No,2025-01-17T20:00:00,NONE,2025-01-18T14:00:00
SHP-134,Third-party,,Yes,No,No,Yes,2025-01-17T23:00:00,LATE,2025-01-18T18:00:00
SHP-135,Third-party,,Yes,No,No,No,2025-01-18T02:00:00,NONE,2025-01-18T22:00:00
SHP-136,Third-party,,Yes,Yes,Yes,No,2025-01-18T05:00:00,NONE,2025-01-19T02:00:00
SHP-137,Third-party,,Yes,No,No,No,2025-01-18T08:00:00,NONE,2025-01-19T06:00:00
SHP-138,Third-party,,Yes,No,No,No,2025-01-18T11:00:00,NONE,2025-01-19T10:00:00
SHP-139,Third-party,4.7,No,No,No,No,2025-01-18T14:00:00,NONE,2025-01-19T14:00:00
