shipment_id,weather_alert,loading_minutes,predicted_late_probability,actual_late,expedite_cost_units,late_loss_units,expected_loss_expedite,expected_loss_standard,recommended_action
S-001,no,45,0.03,0,12.00,80.00,12.00,2.40,standard
S-002,no,52,0.05,0,12.00,80.00,12.00,4.00,standard
S-003,yes,59,0.08,0,12.00,80.00,12.00,6.40,standard
S-004,no,66,0.10,0,12.00,80.00,12.00,8.00,standard
S-005,no,73,0.12,1,12.00,80.00,12.00,9.60,standard
S-006,yes,41,0.14,0,12.00,80.00,12.00,11.20,standard
S-007,no,48,0.15,0,12.00,80.00,12.00,12.00,standard
S-008,no,55,0.16,1,12.00,80.00,12.00,12.80,expedite
S-009,yes,62,0.18,0,12.00,80.00,12.00,14.40,expedite
S-010,no,69,0.20,0,12.00,80.00,12.00,16.00,expedite
S-011,no,76,0.24,1,12.00,80.00,12.00,19.20,expedite
S-012,yes,44,0.28,0,12.00,80.00,12.00,22.40,expedite
S-013,no,51,0.34,1,12.00,80.00,12.00,27.20,expedite
S-014,no,58,0.40,0,12.00,80.00,12.00,32.00,expedite
S-015,yes,65,0.48,1,12.00,80.00,12.00,38.40,expedite
S-016,yes,72,0.56,1,12.00,80.00,12.00,44.80,expedite
S-017,yes,40,0.65,0,12.00,80.00,12.00,52.00,expedite
S-018,yes,47,0.74,1,12.00,80.00,12.00,59.20,expedite
S-019,yes,54,0.84,1,12.00,80.00,12.00,67.20,expedite
S-020,yes,61,0.92,1,12.00,80.00,12.00,73.60,expedite
