scenario_id,eligible_orders,damage_return_rate,preventable_fraction,net_avoidable_loss_units,expected_damage_returns,addressable_returns,upper_bound_value_units,is_chapter_example
V-01,10000,0.01,0.10,30.00,100.00,10.00,300.00,no
V-02,10000,0.01,0.25,30.00,100.00,25.00,750.00,no
V-03,10000,0.01,0.40,30.00,100.00,40.00,1200.00,no
V-04,10000,0.02,0.10,30.00,200.00,20.00,600.00,no
V-05,10000,0.02,0.25,30.00,200.00,50.00,1500.00,no
V-06,10000,0.02,0.40,30.00,200.00,80.00,2400.00,no
V-07,10000,0.04,0.10,30.00,400.00,40.00,1200.00,no
V-08,10000,0.04,0.25,30.00,400.00,100.00,3000.00,no
V-09,10000,0.04,0.40,30.00,400.00,160.00,4800.00,no
V-10,20000,0.01,0.10,30.00,200.00,20.00,600.00,no
V-11,20000,0.01,0.25,30.00,200.00,50.00,1500.00,no
V-12,20000,0.01,0.40,30.00,200.00,80.00,2400.00,no
V-13,20000,0.02,0.10,30.00,400.00,40.00,1200.00,no
V-14,20000,0.02,0.25,30.00,400.00,100.00,3000.00,yes
V-15,20000,0.02,0.40,30.00,400.00,160.00,4800.00,no
V-16,20000,0.04,0.10,30.00,800.00,80.00,2400.00,no
V-17,20000,0.04,0.25,30.00,800.00,200.00,6000.00,no
V-18,20000,0.04,0.40,30.00,800.00,320.00,9600.00,no
V-19,30000,0.01,0.10,30.00,300.00,30.00,900.00,no
V-20,30000,0.01,0.25,30.00,300.00,75.00,2250.00,no
V-21,30000,0.01,0.40,30.00,300.00,120.00,3600.00,no
V-22,30000,0.02,0.10,30.00,600.00,60.00,1800.00,no
V-23,30000,0.02,0.25,30.00,600.00,150.00,4500.00,no
V-24,30000,0.02,0.40,30.00,600.00,240.00,7200.00,no
V-25,30000,0.04,0.10,30.00,1200.00,120.00,3600.00,no
V-26,30000,0.04,0.25,30.00,1200.00,300.00,9000.00,no
V-27,30000,0.04,0.40,30.00,1200.00,480.00,14400.00,no
