shipment_id,distance_100km,port_congestion,priority,observed_hours,predicted_hours,residual_hours,logit_score,late_probability,alert_at_0_60
S01,1,0,0,17.6,18.7,-1.1,-1.20,0.2315,0
S02,2,0,1,18.1,17.3,0.8,-0.80,0.3100,0
S03,3,1,0,24.8,25.3,-0.5,-0.30,0.4256,0
S04,4,0,0,22.1,20.8,1.3,0.10,0.5250,0
S05,5,1,1,23.7,24.6,-0.9,0.45,0.6106,1
S06,6,0,1,20.5,20.1,0.4,0.80,0.6900,1
S07,7,1,0,29.2,28.1,1.1,1.15,0.7595,1
S08,8,1,1,26.1,26.7,-0.6,1.50,0.8176,1
S09,9,0,0,25.0,24.3,0.7,1.90,0.8699,1
S10,10,1,1,26.9,28.1,-1.2,2.30,0.9089,1
