shipment_id,operating_group,route_distance_km,port_wait_hours,distance_scaled,wait_scaled,late_label,radial_position,query_distance,query_neighbor_rank,rbf_similarity_gamma_1
G38-001,ordinary,6240.0,8.00,0.620000,0.000000,0,0.620000,0.587282,5,0.708291
G38-002,ordinary,6277.1,8.51,0.638538,0.171096,0,0.661063,0.470848,2,0.801157
G38-003,ordinary,6117.8,8.97,0.558897,0.322679,0,0.645359,0.497152,4,0.781015
G38-004,ordinary,5880.2,9.32,0.440122,0.440122,0,0.622426,0.611196,7,0.688279
G38-005,ordinary,5600.0,9.56,0.300000,0.519615,0,0.600000,0.759479,9,0.561689
G38-006,ordinary,5283.6,9.59,0.141814,0.529256,0,0.547926,0.917338,13,0.431059
G38-007,ordinary,5000.0,9.44,0.000000,0.480000,0,0.480000,1.053043,17,0.329922
G38-008,ordinary,4756.4,9.36,-0.121814,0.454615,0,0.470652,1.173086,18,0.252554
G38-009,ordinary,4440.0,9.45,-0.280000,0.484974,0,0.560000,1.332712,21,0.169294
G38-010,ordinary,4039.8,9.44,-0.480122,0.480122,0,0.678995,1.532218,26,0.095589
G38-011,ordinary,3762.2,9.07,-0.618897,0.357321,0,0.714641,1.669443,33,0.061603
G38-012,ordinary,3762.9,8.50,-0.618538,0.165737,0,0.640358,1.684903,35,0.058490
G38-013,ordinary,3920.0,8.00,-0.540000,0.000000,0,0.540000,1.639543,32,0.068010
G38-014,ordinary,4036.1,7.61,-0.481936,-0.129134,0,0.498937,1.620744,29,0.072309
G38-015,ordinary,4108.6,7.23,-0.445692,-0.257321,0,0.514641,1.633758,31,0.069310
G38-016,ordinary,4239.8,6.86,-0.380122,-0.380122,0,0.537574,1.629061,30,0.070381
G38-017,ordinary,4440.0,6.55,-0.280000,-0.484974,0,0.560000,1.597523,28,0.077919
G38-018,ordinary,4683.2,6.23,-0.158416,-0.591218,0,0.612074,1.562940,27,0.086919
G38-019,ordinary,5000.0,5.96,-0.000000,-0.680000,0,0.680000,1.506287,25,0.103426
G38-020,ordinary,5356.8,6.00,0.178416,-0.665859,0,0.689348,1.376849,23,0.150211
G38-021,ordinary,5600.0,6.44,0.300000,-0.519615,0,0.600000,1.186673,19,0.244585
G38-022,ordinary,5680.2,6.98,0.340122,-0.340122,0,0.481005,1.025528,15,0.349341
G38-023,ordinary,5771.4,7.33,0.385692,-0.222679,0,0.445359,0.910513,12,0.436470
G38-024,ordinary,6003.9,7.60,0.501936,-0.134493,0,0.519642,0.765544,10,0.556517
G38-025,late,8057.9,8.16,1.528933,0.053535,1,1.529870,0.591113,6,0.705100
G38-026,late,7985.9,9.37,1.492940,0.456590,1,1.561200,0.446541,1,0.819223
G38-027,late,7615.0,10.45,1.307491,0.817181,1,1.541855,0.490246,3,0.786359
G38-028,late,7073.0,11.34,1.036522,1.111742,1,1.519983,0.711869,8,0.602446
G38-029,late,6403.7,11.96,0.701852,1.320289,1,1.495245,0.983940,14,0.379789
G38-030,late,5646.9,12.21,0.323464,1.401673,1,1.438512,1.237418,20,0.216275
G38-031,late,4903.9,12.12,-0.048066,1.372745,1,1.373586,1.466963,24,0.116254
G38-032,late,4194.4,11.95,-0.402789,1.317024,1,1.377240,1.718001,36,0.052260
G38-033,late,3434.6,11.76,-0.782711,1.252339,1,1.476817,2.021215,38,0.016818
G38-034,late,2673.3,11.25,-1.163326,1.084616,1,1.590509,2.316789,40,0.004666
G38-035,late,2156.6,10.27,-1.421686,0.755754,1,1.610079,2.497157,43,0.001958
G38-036,late,2026.2,9.03,-1.486910,0.343134,1,1.525989,2.537547,48,0.001598
G38-037,late,2141.5,7.85,-1.429254,-0.050044,1,1.430130,2.519770,45,0.001748
G38-038,late,2324.7,6.77,-1.337641,-0.409095,1,1.398800,2.521004,46,0.001737
G38-039,late,2594.8,5.75,-1.202585,-0.751615,1,1.418145,2.529892,47,0.001661
G38-040,late,3036.0,4.84,-0.981991,-1.053254,1,1.440017,2.498186,44,0.001948
G38-041,late,3624.9,4.12,-0.687540,-1.293366,1,1.464755,2.426218,42,0.002777
G38-042,late,4315.8,3.55,-0.342122,-1.482524,1,1.521488,2.341346,41,0.004161
G38-043,late,5111.0,3.24,0.055513,-1.585442,1,1.586414,2.220582,39,0.007219
G38-044,late,5925.8,3.46,0.462896,-1.513557,1,1.582760,2.001598,37,0.018199
G38-045,late,6572.2,4.23,0.786084,-1.257737,1,1.483183,1.678613,34,0.059741
G38-046,late,7003.3,5.20,1.001670,-0.933897,1,1.369491,1.334772,22,0.168366
G38-047,late,7383.9,6.10,1.191969,-0.633638,1,1.349921,1.043342,16,0.336700
G38-048,late,7794.6,7.03,1.397288,-0.322452,1,1.434011,0.801589,11,0.525952
