distributor_id,designed_profile,orders_per_month,broad_mix_share,orders_scaled,mix_scaled,assigned_cluster,centroid_orders_scaled,centroid_mix_scaled,distance_to_centroid,silhouette_value
D39-001,steady_bulk,13.16,0.6649,-0.880000,0.805000,steady_bulk,-1.10,0.78,0.221416,0.843243
D39-002,steady_bulk,13.65,0.6707,-0.790767,0.837228,steady_bulk,-1.10,0.78,0.314484,0.801361
D39-003,steady_bulk,13.43,0.6742,-0.831067,0.856516,steady_bulk,-1.10,0.78,0.279606,0.819597
D39-004,steady_bulk,13.76,0.6825,-0.771399,0.902563,steady_bulk,-1.10,0.78,0.350714,0.781507
D39-005,steady_bulk,13.41,0.6836,-0.835334,0.908762,steady_bulk,-1.10,0.78,0.294326,0.812857
D39-006,steady_bulk,13.03,0.6826,-0.904131,0.903206,steady_bulk,-1.10,0.78,0.231396,0.840161
D39-007,steady_bulk,13.04,0.6925,-0.901681,0.958090,steady_bulk,-1.10,0.78,0.266545,0.826281
D39-008,steady_bulk,12.61,0.6895,-0.980628,0.941725,steady_bulk,-1.10,0.78,0.201009,0.851925
D39-009,steady_bulk,12.23,0.6852,-1.049190,0.917954,steady_bulk,-1.10,0.78,0.147014,0.868905
D39-010,steady_bulk,12.04,0.6955,-1.083003,0.975253,steady_bulk,-1.10,0.78,0.195992,0.859311
D39-011,steady_bulk,11.76,0.6901,-1.135000,0.945080,steady_bulk,-1.10,0.78,0.168750,0.870690
D39-012,steady_bulk,11.59,0.6843,-1.165601,0.912673,steady_bulk,-1.10,0.78,0.148006,0.877731
D39-013,steady_bulk,11.33,0.6934,-1.212351,0.963149,steady_bulk,-1.10,0.78,0.214863,0.865894
D39-014,steady_bulk,11.29,0.6870,-1.220335,0.927611,steady_bulk,-1.10,0.78,0.190446,0.873532
D39-015,steady_bulk,10.94,0.6936,-1.283154,0.964497,steady_bulk,-1.10,0.78,0.259970,0.858623
D39-016,steady_bulk,10.97,0.6866,-1.277484,0.925607,steady_bulk,-1.10,0.78,0.229569,0.868179
D39-017,steady_bulk,11.06,0.6802,-1.262495,0.890141,steady_bulk,-1.10,0.78,0.196305,0.875717
D39-018,steady_bulk,10.58,0.6818,-1.349662,0.898967,steady_bulk,-1.10,0.78,0.276558,0.859444
D39-019,steady_bulk,10.67,0.6751,-1.333225,0.861411,steady_bulk,-1.10,0.78,0.247025,0.867714
D39-020,steady_bulk,10.78,0.6694,-1.312266,0.829795,steady_bulk,-1.10,0.78,0.218029,0.873822
D39-021,steady_bulk,10.26,0.6649,-1.408000,0.805000,steady_bulk,-1.10,0.78,0.309013,0.852384
D39-022,steady_bulk,10.43,0.6593,-1.376639,0.774041,steady_bulk,-1.10,0.78,0.276704,0.859997
D39-023,steady_bulk,10.64,0.6552,-1.337548,0.751277,steady_bulk,-1.10,0.78,0.239278,0.867499
D39-024,steady_bulk,10.30,0.6456,-1.399198,0.697613,steady_bulk,-1.10,0.78,0.310334,0.844837
D39-025,steady_bulk,10.64,0.6425,-1.337968,0.680654,steady_bulk,-1.10,0.78,0.257873,0.857252
D39-026,steady_bulk,10.53,0.6302,-1.358094,0.611991,steady_bulk,-1.10,0.78,0.307960,0.836570
D39-027,steady_bulk,10.97,0.6290,-1.278922,0.605682,steady_bulk,-1.10,0.78,0.249800,0.850293
D39-028,steady_bulk,11.38,0.6298,-1.204390,0.610056,steady_bulk,-1.10,0.78,0.199445,0.860528
