product_id,product_family,evaluation_split,weekly_unit_volume,weekly_order_count,stockout_rate,contribution_margin_pct,promotion_share,supplier_lead_days,pc1_score,pc2_score,two_component_reconstruction_rmse
P40-001,staples,training,1145.50,41.92,0.06960,25.898,0.35375,8.559,1.716474,0.085472,0.490283
P40-002,beverages,training,1187.40,43.35,0.06710,25.899,0.35882,8.636,2.000342,-0.116718,0.519197
P40-003,snacks,training,1226.70,44.68,0.06462,25.859,0.36255,8.711,2.252472,-0.328453,0.539174
P40-004,premium,test,1262.07,45.87,0.06222,25.778,0.36483,8.780,2.465614,-0.542694,0.548792
P40-005,staples,training,1292.36,46.88,0.05996,25.658,0.36557,8.842,2.632658,-0.753715,0.547860
P40-006,beverages,training,1316.57,47.67,0.05794,25.501,0.36474,8.896,2.746238,-0.955082,0.536825
P40-007,snacks,training,1333.92,48.24,0.05626,25.313,0.36231,8.943,2.802394,-1.142618,0.517237
P40-008,premium,test,1343.91,48.54,0.05506,25.098,0.35833,8.983,2.793902,-1.309134,0.490692
P40-009,staples,training,1346.21,48.59,0.05443,24.862,0.35287,9.019,2.719762,-1.453017,0.459720
P40-010,beverages,training,1340.78,48.37,0.05445,24.611,0.34605,9.050,2.578729,-1.568741,0.425512
P40-011,snacks,training,1327.74,47.90,0.05514,24.352,0.33802,9.079,2.373637,-1.655851,0.390329
P40-012,premium,test,1307.42,47.17,0.05648,24.090,0.32896,9.104,2.108126,-1.710988,0.354377
P40-013,staples,training,1280.29,46.22,0.05837,23.834,0.31908,9.126,1.791932,-1.735105,0.318664
P40-014,beverages,training,1246.95,45.05,0.06072,23.588,0.30863,9.142,1.432606,-1.726293,0.282690
P40-015,snacks,training,1208.11,43.71,0.06341,23.359,0.29783,9.150,1.042189,-1.685595,0.246209
P40-016,premium,test,1164.62,42.20,0.06632,23.151,0.28697,9.147,0.629974,-1.611808,0.208530
P40-017,staples,training,1117.39,40.58,0.06936,22.968,0.27627,9.131,0.207744,-1.507309,0.169529
P40-018,beverages,training,1067.45,38.87,0.07247,22.815,0.26601,9.098,-0.214732,-1.370401,0.128947
P40-019,snacks,training,1015.91,37.11,0.07562,22.694,0.25641,9.049,-0.629416,-1.204248,0.088182
P40-020,premium,test,963.98,35.35,0.07877,22.606,0.24769,8.982,-1.026459,-1.011426,0.047750
P40-021,staples,training,912.91,33.61,0.08190,22.554,0.24005,8.899,-1.399383,-0.794566,0.013968
P40-022,beverages,training,864.01,31.96,0.08495,22.538,0.23365,8.801,-1.737719,-0.560138,0.033626
P40-023,snacks,training,818.56,30.42,0.08785,22.559,0.22864,8.692,-2.034881,-0.313714,0.066684
P40-024,premium,test,777.81,29.03,0.09048,22.615,0.22512,8.574,-2.282053,-0.062686,0.097259
P40-025,staples,training,742.87,27.84,0.09273,22.708,0.22317,8.450,-2.470041,0.186056,0.124113
P40-026,beverages,training,714.70,26.88,0.09448,22.837,0.22282,8.323,-2.592049,0.425484,0.146946
P40-027,snacks,training,694.03,26.17,0.09560,22.999,0.22409,8.195,-2.642392,0.649198,0.166141
P40-028,premium,test,681.35,25.73,0.09605,23.194,0.22695,8.066,-2.617746,0.854520,0.182032
P40-029,staples,training,676.84,25.57,0.09581,23.419,0.23134,7.938,-2.518085,1.037851,0.194561
P40-030,beverages,training,680.41,25.69,0.09490,23.673,0.23717,7.809,-2.344574,1.200011,0.204697
P40-031,snacks,training,691.66,26.08,0.09342,23.952,0.24432,7.680,-2.103612,1.341282,0.212026
P40-032,premium,test,709.97,26.73,0.09147,24.252,0.25266,7.549,-1.801365,1.464026,0.217058
P40-033,staples,training,734.47,27.59,0.08917,24.570,0.26200,7.416,-1.448697,1.572185,0.219750
P40-034,beverages,training,764.16,28.65,0.08662,24.900,0.27216,7.283,-1.054530,1.665553,0.219655
P40-035,snacks,training,797.88,29.86,0.08391,25.236,0.28293,7.152,-0.630834,1.745868,0.216840
P40-036,premium,test,834.47,31.18,0.08109,25.573,0.29407,7.025,-0.187863,1.813884,0.211821
P40-037,staples,training,872.71,32.55,0.07820,25.904,0.30534,6.905,0.262274,1.870073,0.205033
P40-038,beverages,training,911.43,33.94,0.07528,26.223,0.31649,6.797,0.709163,1.912428,0.195980
P40-039,snacks,training,949.48,35.29,0.07235,26.521,0.32726,6.704,1.140864,1.940219,0.185132
P40-040,premium,test,985.79,36.57,0.06948,26.794,0.33741,6.630,1.547095,1.953023,0.171718
P40-041,staples,training,1019.36,37.73,0.06675,27.033,0.34668,6.577,1.915543,1.950890,0.156113
P40-042,beverages,training,1049.27,38.75,0.06429,27.234,0.35483,6.545,2.236371,1.935921,0.138728
P40-043,snacks,training,1074.66,39.59,0.06223,27.392,0.36167,6.536,2.498219,1.909897,0.119246
P40-044,premium,test,1094.81,40.25,0.06068,27.503,0.36700,6.547,2.694767,1.875214,0.098972
P40-045,staples,training,1109.05,40.69,0.05977,27.563,0.37067,6.577,2.816434,1.835604,0.077939
P40-046,beverages,training,1116.89,40.91,0.05955,27.572,0.37256,6.624,2.860240,1.793238,0.056561
P40-047,snacks,training,1117.97,40.91,0.06004,27.529,0.37260,6.685,2.824844,1.750112,0.035494
P40-048,premium,test,1112.14,40.68,0.06118,27.435,0.37076,6.759,2.711094,1.706765,0.016472
P40-049,staples,training,1099.45,40.24,0.06291,27.292,0.36706,6.844,2.523203,1.663066,0.009438
P40-050,beverages,training,1080.19,39.59,0.06510,27.103,0.36157,6.940,2.266589,1.617765,0.021892
P40-051,snacks,training,1054.92,38.75,0.06766,26.872,0.35441,7.047,1.948141,1.569378,0.033592
P40-052,premium,test,1024.43,37.74,0.07047,26.603,0.34573,7.165,1.576359,1.515694,0.041622
P40-053,staples,training,989.73,36.60,0.07347,26.301,0.33573,7.297,1.159731,1.452937,0.047217
P40-054,beverages,training,952.04,35.34,0.07661,25.972,0.32466,7.442,0.706620,1.381532,0.051263
P40-055,snacks,training,912.69,34.02,0.07984,25.621,0.31276,7.599,0.228749,1.298845,0.055077
P40-056,premium,test,873.11,32.66,0.08314,25.254,0.30032,7.768,-0.265128,1.204553,0.060385
P40-057,staples,training,834.72,31.32,0.08646,24.876,0.28764,7.947,-0.762300,1.096779,0.067985
P40-058,beverages,training,798.90,30.05,0.08973,24.492,0.27501,8.133,-1.250086,0.974416,0.077764
P40-059,snacks,training,766.89,28.88,0.09284,24.108,0.26272,8.320,-1.715361,0.839028,0.088280
P40-060,premium,test,739.79,27.86,0.09567,23.728,0.25104,8.506,-2.145329,0.688192,0.099354
P40-061,staples,training,718.50,27.03,0.09808,23.357,0.24023,8.685,-2.526578,0.522611,0.109274
P40-062,beverages,training,703.70,26.43,0.09992,23.000,0.23051,8.853,-2.846808,0.341834,0.116681
P40-063,snacks,training,695.87,26.07,0.10110,22.662,0.22208,9.008,-3.098579,0.146945,0.121167
P40-064,premium,test,695.27,25.99,0.10154,22.347,0.21509,9.148,-3.273814,-0.062507,0.122200
P40-065,staples,training,701.97,26.18,0.10125,22.059,0.20965,9.271,-3.371080,-0.282929,0.119874
P40-066,beverages,training,715.87,26.65,0.10025,21.803,0.20584,9.378,-3.389144,-0.512848,0.115438
P40-067,snacks,training,736.73,27.38,0.09862,21.583,0.20370,9.470,-3.331307,-0.748631,0.110464
P40-068,premium,test,764.16,28.36,0.09648,21.402,0.20322,9.547,-3.201984,-0.986249,0.106253
P40-069,staples,training,797.61,29.56,0.09391,21.264,0.20435,9.611,-3.006895,-1.222104,0.104229
P40-070,beverages,training,836.44,30.95,0.09101,21.170,0.20704,9.663,-2.752808,-1.452494,0.105374
P40-071,snacks,training,879.85,32.48,0.08783,21.125,0.21116,9.702,-2.446212,-1.671240,0.109356
P40-072,premium,test,926.90,34.12,0.08442,21.127,0.21660,9.728,-2.093974,-1.875628,0.115846
P40-073,staples,training,976.55,35.83,0.08081,21.178,0.22320,9.739,-1.702445,-2.060416,0.123668
P40-074,beverages,training,1027.61,37.56,0.07702,21.275,0.23080,9.734,-1.279920,-2.221949,0.131539
P40-075,snacks,training,1078.79,39.27,0.07311,21.419,0.23920,9.710,-0.834408,-2.354023,0.138132
P40-076,premium,test,1128.75,40.92,0.06916,21.604,0.24822,9.666,-0.376265,-2.453321,0.142729
P40-077,staples,training,1176.12,42.48,0.06528,21.826,0.25766,9.602,0.083859,-2.516543,0.145295
P40-078,beverages,training,1219.56,43.91,0.06160,22.081,0.26732,9.518,0.534155,-2.539621,0.145883
P40-079,snacks,training,1257.85,45.17,0.05828,22.362,0.27698,9.416,0.960981,-2.520458,0.145079
P40-080,premium,test,1289.90,46.24,0.05545,22.662,0.28646,9.297,1.353787,-2.457863,0.142885
P40-081,staples,training,1314.82,47.11,0.05323,22.974,0.29556,9.167,1.701901,-2.354676,0.140775
P40-082,beverages,training,1332.00,47.73,0.05167,23.291,0.30409,9.028,1.995704,-2.210990,0.138510
P40-083,snacks,training,1341.09,48.12,0.05078,23.605,0.31188,8.885,2.231168,-2.033441,0.136682
P40-084,premium,test,1342.01,48.24,0.05053,23.911,0.31876,8.742,2.402777,-1.825258,0.135481
P40-085,staples,training,1334.98,48.11,0.05084,24.200,0.32461,8.601,2.511354,-1.593835,0.133791
P40-086,beverages,training,1320.46,47.72,0.05163,24.469,0.32930,8.464,2.557284,-1.343632,0.130746
P40-087,snacks,training,1299.11,47.08,0.05281,24.711,0.33273,8.333,2.542543,-1.081738,0.125168
P40-088,premium,test,1271.79,46.22,0.05431,24.922,0.33484,8.207,2.472077,-0.813340,0.115757
