batch_id,sample_role,product_family,production_line,sequence_index,fill_weight_g,ph,viscosity_cp,confirmed_relevant,anomaly_type,robust_max_abs_z,isolation_score,monitoring_review_rank,selected_at_capacity_5
B41-001,reference,sauce_a,line_1,1,500.923,3.9775,2224.32,0,ordinary,0.872963,0.439635,,0
B41-002,reference,sauce_b,line_1,2,508.895,4.4254,2236.45,0,ordinary,1.927903,0.504600,,0
B41-003,reference,sauce_a,line_2,3,499.554,4.0375,2263.73,0,ordinary,0.684689,0.439233,,0
B41-004,reference,sauce_b,line_1,4,501.468,4.4430,2248.24,0,ordinary,0.587728,0.425453,,0
B41-005,reference,sauce_a,line_1,5,500.551,4.0354,2256.86,0,ordinary,0.691279,0.423179,,0
B41-006,reference,sauce_b,line_2,6,500.689,4.4322,2408.01,0,ordinary,1.817006,0.473764,,0
B41-007,reference,sauce_a,line_1,7,504.744,4.0054,2143.24,0,ordinary,1.225067,0.467020,,0
B41-008,reference,sauce_b,line_1,8,492.050,4.4630,2238.46,0,ordinary,1.781466,0.538460,,0
B41-009,reference,sauce_a,line_2,9,501.947,4.0532,2279.88,0,ordinary,0.635424,0.459545,,0
B41-010,reference,sauce_b,line_1,10,501.321,4.4375,2288.91,0,ordinary,0.570470,0.411465,,0
B41-011,reference,sauce_a,line_1,11,501.793,3.9764,2183.12,0,ordinary,0.876414,0.440087,,0
B41-012,reference,sauce_b,line_2,12,503.697,4.4834,2402.98,0,ordinary,1.759214,0.493374,,0
B41-013,reference,sauce_a,line_1,13,500.087,4.0330,2174.65,0,ordinary,0.864182,0.414667,,0
B41-014,reference,sauce_b,line_1,14,501.858,4.3764,2337.04,0,ordinary,1.001597,0.497086,,0
B41-015,reference,sauce_a,line_2,15,502.054,4.0685,2237.36,0,ordinary,0.587414,0.439537,,0
B41-016,reference,sauce_b,line_1,16,501.437,4.5103,2348.01,0,ordinary,1.127636,0.470652,,0
B41-017,reference,sauce_a,line_1,17,497.248,4.0029,2110.42,0,ordinary,1.602153,0.484544,,0
B41-018,reference,sauce_b,line_2,18,497.292,4.4656,2363.91,0,ordinary,1.310319,0.440492,,0
B41-019,reference,sauce_a,line_1,19,498.027,4.0081,2179.29,0,ordinary,0.810871,0.417653,,0
