week_start,week_index,trend_level_cases,seasonal_component_cases,event_adjustment_cases,irregular_component_cases,cases_shipped,evaluation_split,forecast_origin_week,horizon_weeks,naive_forecast_cases,seasonal_naive_forecast_cases,drift_forecast_cases,seasonal_naive_lower_80,seasonal_naive_upper_80,seasonal_naive_error_cases
2023-01-02,1,520.00,0.00,0.00,5.48,525.48,training,,,,,,,,
2023-01-09,2,521.15,9.04,0.00,-18.72,511.47,training,,,,,,,,
2023-01-16,3,522.30,17.95,0.00,13.51,553.76,training,,,,,,,,
2023-01-23,4,523.45,26.60,0.00,16.93,566.98,training,,,,,,,,
2023-01-30,5,524.60,34.85,0.00,-35.12,524.33,training,,,,,,,,
2023-02-06,6,525.75,42.60,0.00,-23.44,544.91,training,,,,,,,,
2023-02-13,7,526.90,49.73,0.00,2.30,578.93,training,,,,,,,,
2023-02-20,8,528.05,56.14,0.00,-5.69,578.50,training,,,,,,,,
2023-02-27,9,529.20,61.72,0.00,-0.30,590.62,training,,,,,,,,
2023-03-06,10,530.35,66.41,0.00,-15.35,581.41,training,,,,,,,,
2023-03-13,11,531.50,70.13,0.00,15.83,617.46,training,,,,,,,,
2023-03-20,12,532.65,72.82,0.00,14.00,619.47,training,,,,,,,,
2023-03-27,13,533.80,74.45,0.00,1.19,609.44,training,,,,,,,,
2023-04-03,14,534.95,75.00,0.00,20.29,630.24,training,,,,,,,,
2023-04-10,15,536.10,74.45,0.00,8.42,618.97,training,,,,,,,,
2023-04-17,16,537.25,72.82,0.00,-15.47,594.60,training,,,,,,,,
2023-04-24,17,538.40,70.13,0.00,6.64,615.17,training,,,,,,,,
2023-05-01,18,539.55,66.41,0.00,-17.26,588.70,training,,,,,,,,
2023-05-08,19,540.70,61.72,0.00,15.81,618.23,training,,,,,,,,
2023-05-15,20,541.85,56.14,0.00,-0.90,597.09,training,,,,,,,,
2023-05-22,21,543.00,49.73,0.00,-3.33,589.40,training,,,,,,,,
2023-05-29,22,544.15,42.60,0.00,-12.26,574.49,training,,,,,,,,
2023-06-05,23,545.30,34.85,0.00,22.01,602.16,training,,,,,,,,
