distributor_id,market,product_id,product_family,training_interaction_count,held_out_relevant,seen_in_training,stock_available,market_eligible,popularity_score,latent_score,popularity_unseen_rank,latent_unseen_rank,final_business_score,final_eligible_rank,recommended_top_5
D43-001,SEA,SKU-01,noodles,0,0,0,1,1,60.00,1.033407,3,1,1.093407,1,1
D43-001,SEA,SKU-02,spices,0,0,0,1,1,51.00,0.792802,5,2,0.690802,2,1
D43-001,SEA,SKU-03,coffee,0,0,0,1,1,50.00,0.210070,6,6,0.290070,6,0
D43-001,SEA,SKU-04,tea,0,0,0,1,1,88.00,0.147936,1,7,0.151936,8,0
D43-001,SEA,SKU-05,noodles,0,0,0,1,1,46.00,0.266236,7,4,0.354236,5,1
D43-001,SEA,SKU-06,spices,4,0,1,0,1,51.00,0.680788,,,0.578788,,0
D43-001,SEA,SKU-07,coffee,0,0,0,1,1,46.00,0.451450,8,3,0.539450,3,1
D43-001,SEA,SKU-08,tea,0,1,0,1,1,19.00,0.254550,9,5,0.396550,4,1
D43-001,SEA,SKU-09,noodles,0,0,0,1,1,84.00,-0.314519,2,11,-0.302519,9,0
D43-001,SEA,SKU-10,spices,0,0,0,1,1,58.00,-0.242203,4,10,-0.358203,10,0
D43-001,SEA,SKU-11,coffee,0,0,0,0,1,4.00,-0.011449,10,9,0.160551,,0
D43-001,SEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,11,8,0.180000,7,0
D43-002,MEA,SKU-01,noodles,0,0,0,1,1,60.00,0.301744,1,4,0.181744,4,1
D43-002,MEA,SKU-02,spices,0,0,0,1,1,51.00,0.388350,2,3,0.286350,3,1
D43-002,MEA,SKU-03,coffee,4,0,1,1,1,50.00,2.219594,,,2.119594,,0
D43-002,MEA,SKU-04,tea,4,0,1,1,1,88.00,2.892001,,,2.716001,,0
D43-002,MEA,SKU-05,noodles,0,0,0,1,1,46.00,0.456672,4,2,0.364672,2,1
D43-002,MEA,SKU-06,spices,0,0,0,0,1,51.00,-0.095693,3,8,-0.197693,,0
D43-002,MEA,SKU-07,coffee,0,0,0,1,1,46.00,0.601507,5,1,0.509507,1,1
D43-002,MEA,SKU-08,tea,0,0,0,1,1,19.00,0.194952,6,6,0.156952,5,1
D43-002,MEA,SKU-09,noodles,5,0,1,1,1,84.00,4.632574,,,4.464574,,0
D43-002,MEA,SKU-10,spices,1,0,1,1,0,58.00,3.363219,,,3.247219,,0
D43-002,MEA,SKU-11,coffee,0,1,0,0,1,4.00,0.225459,7,5,0.217459,,0
D43-002,MEA,SKU-12,tea,0,0,0,1,1,0.00,0.000000,8,7,0.000000,6,0
D43-003,EU,SKU-01,noodles,0,0,0,1,1,60.00,1.708841,3,1,1.768841,1,1
D43-003,EU,SKU-02,spices,5,0,1,1,1,51.00,1.704468,,,1.602468,,0
D43-003,EU,SKU-03,coffee,0,0,0,1,1,50.00,1.009425,6,2,1.089425,2,1
D43-003,EU,SKU-04,tea,0,0,0,1,1,88.00,-0.514729,1,11,-0.510729,8,0
D43-003,EU,SKU-05,noodles,0,0,0,1,1,46.00,-0.273086,7,10,-0.185086,7,0
D43-003,EU,SKU-06,spices,0,0,0,0,1,51.00,0.991002,5,3,0.889002,,0
D43-003,EU,SKU-07,coffee,0,0,0,1,1,46.00,-0.064440,8,9,0.023560,4,1
D43-003,EU,SKU-08,tea,0,0,0,1,1,19.00,0.587346,9,4,0.729346,3,1
D43-003,EU,SKU-09,noodles,0,0,0,1,1,84.00,-0.022391,2,8,-0.010391,5,1
D43-003,EU,SKU-10,spices,0,0,0,1,1,58.00,0.074921,4,5,-0.041079,6,0
D43-003,EU,SKU-11,coffee,0,0,0,0,1,4.00,0.034690,10,6,0.206690,,0
D43-003,EU,SKU-12,tea,0,0,0,1,0,0.00,0.000000,11,7,0.180000,,0
D43-004,AMER,SKU-01,noodles,0,0,0,1,1,60.00,0.291672,3,4,0.171672,4,1
D43-004,AMER,SKU-02,spices,0,0,0,1,1,51.00,-0.273086,5,10,-0.195086,6,0
D43-004,AMER,SKU-03,coffee,0,0,0,1,1,50.00,-0.544595,7,11,-0.464595,9,0
