distributor_id,retention_program,region,cohort_origin_month,entry_month,observed_followup_months,exit_month,event_observed,end_state,censor_reason,at_risk_month_12,at_risk_month_24
D45-001,standard,Indonesia,0,0,19.042,19.042,1,churn,,1,0
D45-002,standard,Southeast Asia,0,0,21.740,21.740,1,churn,,1,0
D45-003,standard,Middle East,0,0,33.430,33.430,0,right_censored,administrative_study_end,1,1
D45-004,standard,Europe,0,0,8.716,8.716,1,churn,,0,0
D45-005,standard,Indonesia,0,0,29.077,29.077,0,right_censored,administrative_study_end,1,1
D45-006,standard,Southeast Asia,0,3,4.942,7.942,1,churn,,0,0
D45-007,standard,Middle East,0,0,7.093,7.093,1,churn,,0,0
D45-008,standard,Europe,0,0,2.824,2.824,1,churn,,0,0
D45-009,standard,Indonesia,0,0,9.594,9.594,1,churn,,0,0
D45-010,standard,Southeast Asia,0,0,17.914,17.914,1,churn,,1,0
D45-011,standard,Middle East,0,0,10.256,10.256,1,churn,,0,0
D45-012,standard,Europe,0,6,20.961,26.961,0,right_censored,administrative_study_end,1,0
D45-013,standard,Indonesia,0,0,20.154,20.154,0,right_censored,administrative_study_end,1,0
D45-014,standard,Southeast Asia,0,0,35.659,35.659,0,right_censored,administrative_study_end,1,1
D45-015,standard,Middle East,0,0,17.933,17.933,1,churn,,1,0
D45-016,standard,Europe,0,0,22.782,22.782,0,right_censored,administrative_study_end,1,0
D45-017,standard,Indonesia,0,0,26.879,26.879,0,right_censored,administrative_study_end,1,1
D45-018,standard,Southeast Asia,0,3,10.172,13.172,1,churn,,0,0
D45-019,standard,Middle East,0,0,6.543,6.543,1,churn,,0,0
D45-020,standard,Europe,0,0,3.893,3.893,1,churn,,0,0
D45-021,standard,Indonesia,0,0,1.793,1.793,1,churn,,0,0
D45-022,standard,Southeast Asia,0,0,8.256,8.256,1,churn,,0,0
D45-023,standard,Middle East,0,0,26.604,26.604,0,right_censored,administrative_study_end,1,1
D45-024,standard,Europe,0,6,1.813,7.813,1,churn,,0,0
D45-025,standard,Indonesia,0,0,18.241,18.241,0,right_censored,administrative_study_end,1,0
D45-026,standard,Southeast Asia,0,0,9.409,9.409,1,churn,,0,0
D45-027,standard,Middle East,0,0,3.432,3.432,1,churn,,0,0
D45-028,standard,Europe,0,0,14.905,14.905,1,churn,,1,0
D45-029,standard,Indonesia,0,0,14.581,14.581,1,churn,,1,0
D45-030,standard,Southeast Asia,0,3,4.061,7.061,1,churn,,0,0
D45-031,standard,Middle East,0,0,20.971,20.971,0,right_censored,administrative_study_end,1,0
D45-032,standard,Europe,0,0,9.845,9.845,1,churn,,0,0
