distributor_id,territory,prior_90d_sales_kidr,tenure_years,coached,assignment_propensity,estimated_propensity,ipw_ate,potential_sales_no_coaching_kidr,potential_sales_coaching_kidr,observed_next_90d_sales_kidr,simulated_individual_effect_kidr,overlap_supported
D46-001,West Indonesia,88.936,2.742,0,0.355791,0.365680,1.576490,99.960,107.960,99.960,8.000,1
D46-002,Central Indonesia,126.794,1.846,0,0.638779,0.555064,2.247516,129.845,137.845,129.845,8.000,1
D46-003,East Indonesia,94.035,2.968,1,0.407446,0.405882,2.463772,94.265,102.265,102.265,8.000,1
D46-004,West Indonesia,116.064,7.804,1,0.780222,0.747462,1.337860,121.293,129.293,129.293,8.000,1
D46-005,Central Indonesia,74.275,7.588,0,0.441634,0.501068,2.004282,111.367,119.367,111.367,8.000,1
D46-006,East Indonesia,68.552,6.275,0,0.338233,0.404350,1.678838,87.299,95.299,87.299,8.000,1
D46-007,West Indonesia,99.488,7.581,1,0.656257,0.652564,1.532418,111.987,119.987,119.987,8.000,1
D46-008,Central Indonesia,90.149,6.376,1,0.525701,0.542201,1.844336,117.428,125.428,125.428,8.000,1
D46-009,East Indonesia,101.938,7.790,1,0.683527,0.675017,1.481445,137.906,145.906,145.906,8.000,1
D46-010,West Indonesia,111.557,2.348,0,0.531741,0.484330,1.939224,113.228,121.228,113.228,8.000,1
D46-011,Central Indonesia,106.956,7.248,0,0.700168,0.679820,3.123242,114.036,122.036,114.036,8.000,1
D46-012,East Indonesia,92.125,3.092,0,0.396741,0.400110,1.666973,117.431,125.431,117.431,8.000,1
D46-013,West Indonesia,79.568,6.582,0,0.442663,0.486258,1.946502,106.681,114.681,106.681,8.000,1
D46-014,Central Indonesia,76.838,5.030,0,0.353139,0.397111,1.658679,84.316,92.316,84.316,8.000,1
D46-015,East Indonesia,105.191,2.582,0,0.486614,0.455942,1.838039,120.445,128.445,120.445,8.000,1
D46-016,West Indonesia,137.803,5.133,0,0.824487,0.753811,4.061924,155.676,163.676,155.676,8.000,1
D46-017,Central Indonesia,99.870,6.823,0,0.627987,0.621506,2.642051,101.729,109.729,101.729,8.000,1
