shipment_id,prediction_date,split,route_distance_km,port_congestion_index,fragile_product,actual_late,true_late_probability,train_prevalence_baseline,raw_probability,calibrated_probability,raw_predicted_late,calibrated_predicted_late,raw_brier_contribution,calibrated_brier_contribution
S47-0001,2023-01-01,train,480.0,0.740,1,0,0.564636,0.290000,0.240567,0.324753,0,0,0.057872,0.105464
S47-0002,2023-01-02,train,640.5,0.799,0,0,0.504625,0.290000,0.273943,0.348044,0,0,0.075045,0.121135
S47-0003,2023-01-03,train,221.1,0.518,0,0,0.110790,0.290000,0.012028,0.190518,0,0,0.000145,0.036297
S47-0004,2023-01-04,train,212.6,0.598,1,0,0.275239,0.290000,0.081098,0.226064,0,0,0.006577,0.051105
S47-0005,2023-01-05,train,323.8,0.363,0,0,0.096250,0.290000,0.041070,0.204918,0,0,0.001687,0.041991
S47-0006,2023-01-06,train,451.9,0.456,0,0,0.171320,0.290000,0.064373,0.217046,0,0,0.004144,0.047109
S47-0007,2023-01-07,train,465.8,0.513,0,1,0.203656,0.290000,0.145105,0.262983,0,0,0.730846,0.543194
S47-0008,2023-01-08,train,524.1,0.304,0,0,0.139951,0.290000,0.086310,0.228929,0,0,0.007449,0.052408
S47-0009,2023-01-09,train,579.9,0.367,1,1,0.363709,0.290000,0.208755,0.303331,0,0,0.626068,0.485348
S47-0010,2023-01-10,train,436.3,0.259,1,0,0.211802,0.290000,0.007517,0.188352,0,0,0.000057,0.035476
S47-0011,2023-01-11,train,621.0,0.341,0,0,0.195604,0.290000,0.030848,0.199760,0,0,0.000952,0.039904
S47-0012,2023-01-12,train,744.5,0.416,0,1,0.306082,0.290000,0.475165,0.500392,0,1,0.275451,0.249608
S47-0013,2023-01-13,train,677.2,0.684,0,1,0.446110,0.290000,0.262759,0.340152,0,0,0.543524,0.435400
S47-0014,2023-01-14,train,805.0,0.235,0,0,0.235052,0.290000,0.212715,0.305954,0,0,0.045248,0.093608
S47-0015,2023-01-15,train,1004.4,0.470,0,1,0.530761,0.290000,0.589050,0.588479,1,1,0.168880,0.169349
S47-0016,2023-01-16,train,487.8,0.326,1,1,0.277159,0.290000,0.196956,0.295591,0,0,0.644879,0.496192
S47-0017,2023-01-17,train,956.5,0.477,0,1,0.500125,0.290000,0.568844,0.573097,1,1,0.185896,0.182246
S47-0018,2023-01-18,train,397.4,0.381,1,0,0.256393,0.290000,0.102426,0.237946,0,0,0.010491,0.056618
S47-0019,2023-01-19,train,606.9,0.502,0,0,0.274223,0.290000,0.138894,0.259236,0,0,0.019292,0.067203
S47-0020,2023-01-20,train,831.9,0.419,0,0,0.366491,0.290000,0.187838,0.289689,0,0,0.035283,0.083920
S47-0021,2023-01-21,train,906.8,0.651,0,0,0.592280,0.290000,0.453294,0.483300,0,0,0.205475,0.233579
S47-0022,2023-01-22,train,764.8,0.313,1,0,0.458446,0.290000,0.379665,0.426277,0,0,0.144146,0.181712
S47-0023,2023-01-23,train,769.2,0.623,1,1,0.684947,0.290000,0.846790,0.761991,1,1,0.023473,0.056648
S47-0024,2023-01-24,train,898.5,0.719,0,1,0.634715,0.290000,0.580550,0.582028,1,1,0.175939,0.174701
S47-0025,2023-01-25,train,640.2,0.505,0,1,0.296421,0.290000,0.253209,0.333481,0,0,0.557698,0.444248
S47-0026,2023-01-26,train,765.9,0.712,0,0,0.533375,0.290000,0.318403,0.380218,0,0,0.101380,0.144566
S47-0027,2023-01-27,train,474.9,0.697,0,0,0.313394,0.290000,0.054515,0.211853,0,0,0.002972,0.044882
S47-0028,2023-01-28,train,294.3,0.519,0,0,0.134691,0.290000,0.007650,0.188416,0,0,0.000059,0.035500
S47-0029,2023-01-29,train,169.2,0.802,0,0,0.199983,0.290000,0.193769,0.293520,0,0,0.037546,0.086154
S47-0030,2023-01-30,train,938.7,0.701,0,1,0.650014,0.290000,0.607444,0.602334,1,1,0.154100,0.158138
S47-0031,2023-01-31,train,758.7,0.137,0,0,0.166186,0.290000,0.133735,0.256150,0,0,0.017885,0.065613
S47-0032,2023-02-01,train,508.4,0.440,1,0,0.364751,0.290000,0.120852,0.248550,0,0,0.014605,0.061777
S47-0033,2023-02-02,train,483.9,0.146,0,0,0.082391,0.290000,0.021025,0.194894,0,0,0.000442,0.037984
S47-0034,2023-02-03,train,497.9,0.382,0,0,0.159722,0.290000,0.079492,0.225187,0,0,0.006319,0.050709
S47-0035,2023-02-04,train,364.3,0.623,0,0,0.207823,0.290000,0.073330,0.221843,0,0,0.005377,0.049214
S47-0036,2023-02-05,train,431.1,0.240,0,0,0.092230,0.290000,0.005435,0.187359,0,0,0.000030,0.035103
S47-0037,2023-02-06,train,522.9,0.625,1,0,0.510923,0.290000,0.517176,0.533185,1,1,0.267471,0.284286
S47-0038,2023-02-07,train,835.3,0.130,1,1,0.376578,0.290000,0.371573,0.420100,0,0,0.394921,0.336284
S47-0039,2023-02-08,train,682.3,0.271,1,0,0.368164,0.290000,0.293128,0.361778,0,0,0.085924,0.130883
S47-0040,2023-02-09,train,287.2,0.518,0,0,0.131884,0.290000,0.007775,0.188475,0,0,0.000060,0.035523
S47-0041,2023-02-10,train,857.9,0.338,0,0,0.329091,0.290000,0.099669,0.236386,0,0,0.009934,0.055878
S47-0042,2023-02-11,train,798.4,0.716,0,1,0.560502,0.290000,0.606698,0.601775,1,1,0.154686,0.158583
S47-0043,2023-02-12,train,650.4,0.125,0,0,0.121981,0.290000,0.030790,0.199731,0,0,0.000948,0.039892
S47-0044,2023-02-13,train,627.5,0.363,1,0,0.394485,0.290000,0.215600,0.307872,0,0,0.046483,0.094785
S47-0045,2023-02-14,train,718.8,0.229,1,0,0.364335,0.290000,0.212259,0.305651,0,0,0.045054,0.093422
S47-0046,2023-02-15,train,648.6,0.672,0,0,0.416247,0.290000,0.181789,0.285812,0,0,0.033047,0.081688
S47-0047,2023-02-16,train,459.7,0.233,0,0,0.097801,0.290000,0.005435,0.187359,0,0,0.000030,0.035103
S47-0048,2023-02-17,train,1006.2,0.221,1,1,0.569938,0.290000,0.551796,0.560007,1,1,0.200887,0.193594
S47-0049,2023-02-18,train,806.2,0.287,1,0,0.469936,0.290000,0.287477,0.357708,0,0,0.082643,0.127955
S47-0050,2023-02-19,train,700.7,0.748,0,0,0.511523,0.290000,0.284222,0.355372,0,0,0.080782,0.126289
S47-0051,2023-02-20,train,447.4,0.675,0,0,0.282357,0.290000,0.072768,0.221539,0,0,0.005295,0.049080
S47-0052,2023-02-21,train,386.4,0.334,1,1,0.224645,0.290000,0.224797,0.314034,0,0,0.600940,0.470549
S47-0053,2023-02-22,train,813.6,0.079,0,0,0.164902,0.290000,0.049392,0.209191,0,0,0.002440,0.043761
S47-0054,2023-02-23,train,683.6,0.523,0,0,0.336217,0.290000,0.263588,0.340733,0,0,0.069478,0.116099
S47-0055,2023-02-24,train,728.3,0.549,0,0,0.385066,0.290000,0.150863,0.266488,0,0,0.022760,0.071016
S47-0056,2023-02-25,train,402.3,0.118,1,0,0.137158,0.290000,0.023753,0.196236,0,0,0.000564,0.038509
S47-0057,2023-02-26,train,628.7,0.217,1,0,0.296734,0.290000,0.119699,0.247878,0,0,0.014328,0.061443
S47-0058,2023-02-27,train,364.2,0.342,0,0,0.101433,0.290000,0.065977,0.217899,0,0,0.004353,0.047480
S47-0059,2023-02-28,train,530.7,0.824,0,0,0.441297,0.290000,0.178039,0.283425,0,0,0.031698,0.080330
S47-0060,2023-03-01,train,608.4,0.793,0,0,0.476068,0.290000,0.304877,0.370303,0,0,0.092950,0.137124
S47-0061,2023-03-02,train,908.0,0.770,0,0,0.675682,0.290000,0.524373,0.538782,1,1,0.274967,0.290286
S47-0062,2023-03-03,train,465.1,0.317,0,0,0.124150,0.290000,0.029620,0.199146,0,0,0.000877,0.039659
S47-0063,2023-03-04,train,383.9,0.289,0,0,0.092684,0.290000,0.026817,0.197752,0,0,0.000719,0.039106
S47-0064,2023-03-05,train,736.4,0.435,0,1,0.313071,0.290000,0.421698,0.458689,0,0,0.334433,0.293018
S47-0065,2023-03-06,train,774.0,0.394,0,0,0.310882,0.290000,0.197894,0.296202,0,0,0.039162,0.087736
S47-0066,2023-03-07,train,304.3,0.138,0,0,0.048656,0.290000,0.005435,0.187359,0,0,0.000030,0.035103
S47-0067,2023-03-08,train,743.3,0.586,1,1,0.642883,0.290000,0.788974,0.727671,1,1,0.044532,0.074163
S47-0068,2023-03-09,train,852.1,0.331,0,0,0.320669,0.290000,0.104133,0.238915,0,0,0.010844,0.057080
S47-0069,2023-03-10,train,551.4,0.778,0,1,0.422675,0.290000,0.240102,0.324434,0,0,0.577445,0.456389
S47-0070,2023-03-11,train,657.8,0.164,0,0,0.137691,0.290000,0.020351,0.194564,0,0,0.000414,0.037855
S47-0071,2023-03-12,train,794.5,0.201,0,1,0.211902,0.290000,0.381835,0.427937,0,0,0.382128,0.327256
S47-0072,2023-03-13,train,764.0,0.608,0,1,0.454129,0.290000,0.569149,0.573331,1,1,0.185632,0.182047
S47-0073,2023-03-14,train,599.4,0.605,0,1,0.334745,0.290000,0.381089,0.427366,0,0,0.383051,0.327910
S47-0074,2023-03-15,train,561.4,0.567,1,1,0.496300,0.290000,0.676768,0.652937,1,1,0.104479,0.120453
S47-0075,2023-03-16,train,673.8,0.588,0,0,0.374116,0.290000,0.211324,0.305031,0,0,0.044658,0.093044
S47-0076,2023-03-17,train,731.7,0.153,0,0,0.161664,0.290000,0.041402,0.205087,0,0,0.001714,0.042061
S47-0077,2023-03-18,train,566.8,0.397,0,0,0.196455,0.290000,0.148089,0.264796,0,0,0.021930,0.070117
S47-0078,2023-03-19,train,459.3,0.300,0,0,0.116902,0.290000,0.030250,0.199461,0,0,0.000915,0.039785
S47-0079,2023-03-20,train,743.3,0.789,1,1,0.767973,0.290000,0.827437,0.750843,1,1,0.029778,0.062079
S47-0080,2023-03-21,train,781.5,0.352,0,0,0.289153,0.290000,0.255508,0.335081,0,0,0.065284,0.112279
S47-0081,2023-03-22,train,818.3,0.296,1,1,0.485729,0.290000,0.439162,0.472275,0,0,0.314539,0.278493
S47-0082,2023-03-23,train,531.8,0.681,0,0,0.340380,0.290000,0.194589,0.294052,0,0,0.037865,0.086467
S47-0083,2023-03-24,train,941.0,0.692,1,1,0.817425,0.290000,0.969989,0.824750,1,1,0.000901,0.030713
S47-0084,2023-03-25,train,1105.1,0.507,0,1,0.630951,0.290000,0.618170,0.610340,1,1,0.145794,0.151835
S47-0085,2023-03-26,train,457.0,0.460,0,1,0.175231,0.290000,0.124574,0.250731,0,0,0.766370,0.561405
