package_id,impact_score_standardized,moisture_score_standardized,latent_damage_score,damage_label,initial_probability,trained_logit,trained_probability,predicted_damage_at_0_5,binary_cross_entropy_contribution,probability_minus_label,signed_boundary_distance,classification_correct
PKG50-001,0.486381,-0.477392,1.004884,1,0.500000,-0.042414,0.489398,0,0.714579,-0.510602,-0.009889,0
PKG50-002,0.669340,-1.387295,-0.568488,0,0.500000,-1.501415,0.182215,0,0.201155,0.182215,-0.350070,1
PKG50-003,1.665888,-0.190932,1.982355,1,0.500000,4.873255,0.992410,1,0.007619,-0.007590,1.136249,1
PKG50-004,0.534349,0.776552,0.691426,1,0.500000,3.049291,0.954752,1,0.046304,-0.045248,0.710974,1
PKG50-005,0.244750,0.179810,0.072299,1,0.500000,0.617002,0.649536,1,0.431496,-0.350464,0.143860,1
PKG50-006,-1.341585,-0.181981,-3.397083,0,0.500000,-5.939508,0.002626,0,0.002630,0.002626,-1.384857,1
PKG50-007,-0.542161,0.001980,-0.433316,0,0.500000,-2.631580,0.067133,0,0.069493,0.067133,-0.613580,1
PKG50-008,-2.699809,-1.557226,-6.488773,0,0.500000,-14.033416,0.000001,0,0.000001,0.000001,-3.272035,1
PKG50-009,-0.292793,0.259063,0.151312,1,0.500000,-1.134866,0.243264,0,1.413607,-0.756736,-0.264606,0
PKG50-010,-0.201089,-1.101499,-0.808686,0,0.500000,-3.971625,0.018494,0,0.018667,0.018494,-0.926025,1
PKG50-011,-0.592834,-0.429007,-2.515947,0,0.500000,-3.817361,0.021513,0,0.021748,0.021513,-0.890057,1
PKG50-012,-3.057709,-0.786701,-6.489835,0,0.500000,-13.529035,0.000001,0,0.000001,0.000001,-3.154433,1
PKG50-013,-0.761773,-0.671141,-3.036948,0,0.500000,-4.989554,0.006763,0,0.006786,0.006763,-1.163366,1
PKG50-014,0.318414,-1.130971,-1.355914,0,0.500000,-2.168862,0.102582,0,0.108233,0.102582,-0.505692,1
PKG50-015,0.445367,0.318817,0.190270,1,0.500000,1.663249,0.840674,1,0.173552,-0.159326,0.387803,1
PKG50-016,0.438585,0.253832,0.435195,1,0.500000,1.487547,0.815710,1,0.203697,-0.184290,0.346837,1
PKG50-017,1.050176,2.004461,3.802213,1,0.500000,7.765727,0.999576,1,0.000424,-0.000424,1.810659,1
PKG50-018,-0.197636,-0.812139,-0.978731,0,0.500000,-3.285618,0.036068,0,0.036734,0.036068,-0.766076,1
PKG50-019,0.316822,2.092527,3.318754,1,0.500000,5.329019,0.995175,1,0.004837,-0.004825,1.242515,1
