package_id,impact_score_standardized,moisture_score_standardized,seal_temperature_standardized,line_speed_standardized,synthetic_severity_score,true_class,hidden_1_preactivation,hidden_2_preactivation,hidden_3_preactivation,hidden_4_preactivation,hidden_5_preactivation,hidden_6_preactivation,hidden_1_relu,hidden_2_relu,hidden_3_relu,hidden_4_relu,hidden_5_relu,hidden_6_relu,normal_logit,inspect_logit,reject_logit,normal_probability,inspect_probability,reject_probability,predicted_class,cross_entropy_contribution,softmax_probability_sum
PKG51-01,-0.575111,-0.622099,0.080255,1.252472,-0.675266,normal,-0.575111,-0.622099,-0.080255,1.252472,0.767969,-1.024993,0.000000,0.000000,0.000000,1.252472,0.767969,0.000000,1.620575,-0.208243,-1.086095,0.814756,0.130852,0.054392,normal,0.204867,1.000000
PKG51-02,-0.323897,-1.101644,-0.798735,1.777451,0.145459,inspect,-0.323897,-1.101644,0.798735,1.777451,0.217792,0.150645,0.000000,0.000000,0.798735,1.777451,0.217792,0.150645,0.200358,0.573962,0.399098,0.272270,0.395598,0.332132,inspect,0.927357,1.000000
PKG51-03,-0.350410,-1.183625,-0.302289,0.298273,-1.041694,normal,-0.350410,-1.183625,0.302289,0.298273,1.038010,-1.933473,0.000000,0.000000,0.302289,0.298273,1.038010,0.000000,2.175159,-0.508608,-1.636041,0.917072,0.062641,0.020287,normal,0.086569,1.000000
PKG51-04,0.287102,1.863031,-0.191397,-1.545646,1.224812,inspect,0.287102,1.863031,0.191397,-1.545646,-0.984948,-0.204116,0.287102,1.863031,0.191397,0.000000,0.000000,0.000000,0.000525,0.980336,0.582795,0.183350,0.488436,0.328214,inspect,0.716548,1.000000
PKG51-05,1.508860,0.287010,0.300002,-0.679030,1.641610,reject,1.508860,0.287010,-0.300002,-0.679030,-0.824285,-0.183162,1.508860,0.287010,0.000000,0.000000,0.000000,0.000000,0.151179,0.848821,0.287582,0.240665,0.483498,0.275837,inspect,1.287946,1.000000
PKG51-06,-1.035634,1.580770,-1.517716,-0.620126,0.670630,inspect,-1.035634,1.580770,1.517716,-0.620126,-0.802624,0.442726,0.000000,1.580770,1.517716,0.000000,0.000000,0.442726,-0.791969,1.286017,1.691106,0.047695,0.381008,0.571297,reject,0.964936,1.000000
PKG51-07,-1.146867,1.443695,0.322281,-0.708275,-0.915705,normal,-1.146867,1.443695,-0.322281,-0.708275,0.512758,-1.733728,0.000000,1.443695,0.000000,0.000000,0.512758,0.000000,1.093462,0.265468,-0.503975,0.610002,0.266525,0.123473,normal,0.494293,1.000000
PKG51-08,0.713190,1.944505,-0.962735,-0.893528,2.709901,reject,0.713190,1.944505,0.962735,-0.893528,-2.041288,1.726902,0.713190,1.944505,0.962735,0.000000,0.000000,1.726902,-2.408436,1.930641,4.161742,0.001264,0.096870,0.901866,reject,0.103289,1.000000
PKG51-09,0.399962,0.242635,-1.135887,-0.638368,1.189996,inspect,0.399962,0.242635,1.135887,-0.638368,-0.779836,0.140116,0.399962,0.242635,1.135887,0.000000,0.000000,0.140116,0.130646,0.643673,0.259369,0.262625,0.438672,0.298703,inspect,0.824002,1.000000
PKG51-10,-0.019259,0.864114,-1.487180,0.672063,2.043312,reject,-0.019259,0.864114,1.487180,0.672063,-1.483399,2.004098,0.000000,0.864114,1.487180,0.672063,0.000000,2.004098,-2.248570,1.429367,3.841702,0.002074,0.082066,0.915859,reject,0.087892,1.000000
