pixel_row,pixel_column,input_intensity,vertical_edge_response,absolute_edge_response,pool_row,pool_column,pooled_max_absolute_response,kernel_values_row_major,convolution_stride,convolution_padding,convolution_output_height,convolution_output_width,pool_size,pool_stride,pooled_output_height,pooled_output_width,three_layer_receptive_field,dense_parameter_example,convolution_parameter_example
0,0,0.0,0.0000000000,0.0000000000,0,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
0,1,0.0,0.0000000000,0.0000000000,0,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
0,2,0.0,0.0000000000,0.0000000000,0,1,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
0,3,0.0,0.0000000000,0.0000000000,0,1,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
0,4,0.0,0.0000000000,0.0000000000,0,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
0,5,0.0,0.0000000000,0.0000000000,0,2,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
0,6,0.0,0.0000000000,0.0000000000,0,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
0,7,0.0,0.0000000000,0.0000000000,0,3,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
0,8,0.0,0.0000000000,0.0000000000,0,4,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
0,9,0.0,0.0000000000,0.0000000000,0,4,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
0,10,0.0,0.0000000000,0.0000000000,0,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
0,11,0.0,0.0000000000,0.0000000000,0,5,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
1,0,0.0,0.0000000000,0.0000000000,0,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
1,1,0.0,0.0000000000,0.0000000000,0,0,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
1,2,0.0,0.0000000000,0.0000000000,0,1,0.0000000000,-1;0;1;-1;0;1;-1;0;1,1,1,12,12,2,2,6,6,8,2408464,448
