query_position,query_token,source_position,source_token,query_component_1,query_component_2,key_component_1,key_component_2,value_component_1,value_component_2,scaled_compatibility_score,unmasked_attention_weight,causal_allowed,causal_attention_weight,unmasked_output_component_1,unmasked_output_component_2,causal_output_component_1,causal_output_component_2,position_sin_1,position_cos_1,position_sin_2,position_cos_2,position_sin_3,position_cos_3,attention_dimension,score_divisor
0,stok,0,stok,1.0,0.0,1.0,0.0,0.0,1.0,0.707106781187,0.275379577348,true,1.000000000000,3.506643315747,4.506643315747,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,2,1.414213562373
0,stok,1,kopi,1.0,0.0,0.8,0.2,2.0,3.0,0.565685424949,0.239063467479,false,0.000000000000,3.506643315747,4.506643315747,0.000000000000,1.000000000000,0.841470984808,0.540302305868,0.046399223465,0.998922976041,0.002154433023,0.999997679206,2,1.414213562373
0,stok,2,belum,1.0,0.0,0.0,1.0,4.0,5.0,0.000000000000,0.135781047840,false,0.000000000000,3.506643315747,4.506643315747,0.000000000000,1.000000000000,0.909297426826,-0.416146836547,0.092698500779,0.995694224124,0.004308856047,0.999990716837,2,1.414213562373
0,stok,3,tiba,1.0,0.0,0.2,0.8,6.0,7.0,0.141421356237,0.156407534620,false,0.000000000000,3.506643315747,4.506643315747,0.000000000000,1.000000000000,0.141120008060,-0.989992496600,0.138798101080,0.990320699136,0.006463259070,0.999979112923,2,1.414213562373
0,stok,4,jakarta,1.0,0.0,0.5,0.5,8.0,9.0,0.353553390593,0.193368372714,false,0.000000000000,3.506643315747,4.506643315747,0.000000000000,1.000000000000,-0.756802495308,-0.653643620864,0.184598723621,0.982813975907,0.008617632094,0.999962867519,2,1.414213562373
1,kopi,0,stok,0.8,0.2,1.0,0.0,0.0,1.0,0.565685424949,0.244263116187,true,0.521200484671,3.712383990031,4.712383990031,0.957599030658,1.957599030658,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,2,1.414213562373
1,kopi,1,kopi,0.8,0.2,0.8,0.2,2.0,3.0,0.480832611207,0.224391697787,true,0.478799515329,3.712383990031,4.712383990031,0.957599030658,1.957599030658,0.841470984808,0.540302305868,0.046399223465,0.998922976041,0.002154433023,0.999997679206,2,1.414213562373
1,kopi,2,belum,0.8,0.2,0.0,1.0,4.0,5.0,0.141421356237,0.159809410464,false,0.000000000000,3.712383990031,4.712383990031,0.957599030658,1.957599030658,0.909297426826,-0.416146836547,0.092698500779,0.995694224124,0.004308856047,0.999990716837,2,1.414213562373
1,kopi,3,tiba,0.8,0.2,0.2,0.8,6.0,7.0,0.226274169980,0.173961625947,false,0.000000000000,3.712383990031,4.712383990031,0.957599030658,1.957599030658,0.141120008060,-0.989992496600,0.138798101080,0.990320699136,0.006463259070,0.999979112923,2,1.414213562373
1,kopi,4,jakarta,0.8,0.2,0.5,0.5,8.0,9.0,0.353553390593,0.197574149615,false,0.000000000000,3.712383990031,4.712383990031,0.957599030658,1.957599030658,-0.756802495308,-0.653643620864,0.184598723621,0.982813975907,0.008617632094,0.999962867519,2,1.414213562373
