package_id,prediction_time,model_version,factory,camera_id,packaging_revision,input_quality,defect_category,actual_defect,risk_probability,decision_threshold,predicted_defect,outcome_label,is_error,false_negative,error_mechanism,severity,potential_consequence_kidr,expected_harm_kidr,uncertainty_distance,uncertainty_review_rank,uncertainty_review_flag,harm_review_rank,harm_review_flag,reviewer_outcome,accountable_owner,fallback_route,rollback_defined,release_ready,blocking_control,data_seed
PKG58-01,2026-07-01T08:00:00+07:00,pkg-risk-0.9.0,A,CAM-A1,R1,clear,none,0,0.10,0.50,0,TN,false,false,none,none,300,30.00,0.40,11,false,12,false,pass,Jakarta Quality Director,manual inspection queue,false,false,rollback,not_applicable_fixed_values
PKG58-02,2026-07-02T08:00:00+07:00,pkg-risk-0.9.0,A,CAM-A1,R1,clear,seal,1,0.80,0.50,1,TP,false,false,none,high,1200,960.00,0.30,9,false,4,true,divert,Jakarta Quality Director,manual inspection queue,false,false,rollback,not_applicable_fixed_values
PKG58-03,2026-07-03T08:00:00+07:00,pkg-risk-0.9.0,A,CAM-A2,R2,shadow,none,0,0.70,0.50,1,FP,true,false,shadow_false_alarm,none,300,210.00,0.20,5,false,7,false,pass,Jakarta Quality Director,manual inspection queue,false,false,rollback,not_applicable_fixed_values
PKG58-04,2026-07-04T08:00:00+07:00,pkg-risk-0.9.0,A,CAM-A2,R2,glare,exposed_product,1,0.20,0.50,0,FN,true,true,glare_false_pass,critical,5000,1000.00,0.30,8,false,3,true,divert,Jakarta Quality Director,manual inspection queue,false,false,rollback,not_applicable_fixed_values
PKG58-05,2026-07-05T08:00:00+07:00,pkg-risk-0.9.0,A,CAM-A1,R1,clear,seal,1,0.90,0.50,1,TP,false,false,none,high,1200,1080.00,0.40,12,false,2,true,divert,Jakarta Quality Director,manual inspection queue,false,false,rollback,not_applicable_fixed_values
PKG58-06,2026-07-06T08:00:00+07:00,pkg-risk-0.9.0,A,CAM-A2,R2,blur,none,0,0.40,0.50,0,TN,false,false,none,none,300,120.00,0.10,3,true,10,false,pass,Jakarta Quality Director,manual inspection queue,false,false,rollback,not_applicable_fixed_values
PKG58-07,2026-07-07T08:00:00+07:00,pkg-risk-0.9.0,B,CAM-B1,R1,clear,dent,1,0.55,0.50,1,TP,false,false,none,medium,700,385.00,0.05,2,true,5,false,divert,Jakarta Quality Director,manual inspection queue,false,false,rollback,not_applicable_fixed_values
PKG58-08,2026-07-08T08:00:00+07:00,pkg-risk-0.9.0,B,CAM-B2,R2,shadow,none,0,0.60,0.50,1,FP,true,false,shadow_false_alarm,none,300,180.00,0.10,4,true,8,false,pass,Jakarta Quality Director,manual inspection queue,false,false,rollback,not_applicable_fixed_values
PKG58-09,2026-07-09T08:00:00+07:00,pkg-risk-0.9.0,B,CAM-B1,R1,glare,seal,1,0.30,0.50,0,FN,true,true,revision_shift_false_pass,high,1200,360.00,0.20,6,false,6,false,divert,Jakarta Quality Director,manual inspection queue,false,false,rollback,not_applicable_fixed_values
PKG58-10,2026-07-10T08:00:00+07:00,pkg-risk-0.9.0,B,CAM-B2,R2,clear,none,0,0.15,0.50,0,TN,false,false,none,none,300,45.00,0.35,10,false,11,false,pass,Jakarta Quality Director,manual inspection queue,false,false,rollback,not_applicable_fixed_values
PKG58-11,2026-07-11T08:00:00+07:00,pkg-risk-0.9.0,B,CAM-B1,R1,clear,exposed_product,1,0.75,0.50,1,TP,false,false,none,critical,5000,3750.00,0.25,7,false,1,true,divert,Jakarta Quality Director,manual inspection queue,false,false,rollback,not_applicable_fixed_values
PKG58-12,2026-07-12T08:00:00+07:00,pkg-risk-0.9.0,B,CAM-B2,R2,blur,none,0,0.45,0.50,0,TN,false,false,none,none,300,135.00,0.05,1,true,9,false,pass,Jakarta Quality Director,manual inspection queue,false,false,rollback,not_applicable_fixed_values
