week_start,dc_id,product_id,promotion,stockout,observed_sales_cases,latent_demand_cases,data_split,forecast_origin_week,forecast_horizon_weeks,last_observation_forecast_cases,seasonal_naive_forecast_cases,drift_forecast_cases,selected_model,selected_forecast_cases,selected_error_cases,selected_absolute_error_cases,lead_time_weeks,service_level,lead_time_point_demand_cases,error_quantile_cases,safety_stock_cases,order_up_to_target_cases,on_hand_cases,on_order_cases,backorders_cases,inventory_position_cases,case_pack_cases,unconstrained_order_cases,recommended_order_cases,accountable_owner,approval_state,data_seed
2024-01-01,JKT_DC,SAMBAL_250,0,0,73,73,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-01-08,JKT_DC,SAMBAL_250,0,0,88,88,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-01-15,JKT_DC,SAMBAL_250,0,0,89,89,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-01-22,JKT_DC,SAMBAL_250,0,0,94,94,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-01-29,JKT_DC,SAMBAL_250,0,0,92,92,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-02-05,JKT_DC,SAMBAL_250,0,0,96,96,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-02-12,JKT_DC,SAMBAL_250,0,0,80,80,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-02-19,JKT_DC,SAMBAL_250,0,0,80,80,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-02-26,JKT_DC,SAMBAL_250,0,0,76,76,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-03-04,JKT_DC,SAMBAL_250,0,0,83,83,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-03-11,JKT_DC,SAMBAL_250,1,0,81,81,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-03-18,JKT_DC,SAMBAL_250,0,0,79,79,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-03-25,JKT_DC,SAMBAL_250,0,0,75,75,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-04-01,JKT_DC,SAMBAL_250,0,0,90,90,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-04-08,JKT_DC,SAMBAL_250,0,0,90,90,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-04-15,JKT_DC,SAMBAL_250,0,0,94,94,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-04-22,JKT_DC,SAMBAL_250,0,0,92,92,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-04-29,JKT_DC,SAMBAL_250,0,0,91,91,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-05-06,JKT_DC,SAMBAL_250,0,0,88,88,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-05-13,JKT_DC,SAMBAL_250,0,0,91,91,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-05-20,JKT_DC,SAMBAL_250,0,0,80,80,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-05-27,JKT_DC,SAMBAL_250,0,0,68,68,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-06-03,JKT_DC,SAMBAL_250,0,0,83,83,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-06-10,JKT_DC,SAMBAL_250,1,0,95,95,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-06-17,JKT_DC,SAMBAL_250,0,0,83,83,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-06-24,JKT_DC,SAMBAL_250,0,0,83,83,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-07-01,JKT_DC,SAMBAL_250,0,0,88,88,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-07-08,JKT_DC,SAMBAL_250,0,0,87,87,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-07-15,JKT_DC,SAMBAL_250,0,0,89,89,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-07-22,JKT_DC,SAMBAL_250,0,0,92,92,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-07-29,JKT_DC,SAMBAL_250,0,0,95,95,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-08-05,JKT_DC,SAMBAL_250,0,0,92,92,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-08-12,JKT_DC,SAMBAL_250,0,0,92,92,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-08-19,JKT_DC,SAMBAL_250,0,0,82,82,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-08-26,JKT_DC,SAMBAL_250,0,0,71,71,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-09-02,JKT_DC,SAMBAL_250,0,0,75,75,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-09-09,JKT_DC,SAMBAL_250,1,0,91,91,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-09-16,JKT_DC,SAMBAL_250,0,0,75,75,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-09-23,JKT_DC,SAMBAL_250,0,0,82,82,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-09-30,JKT_DC,SAMBAL_250,0,0,94,94,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-10-07,JKT_DC,SAMBAL_250,0,0,91,91,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
2024-10-14,JKT_DC,SAMBAL_250,0,0,93,93,training,,,,,,,,,,,,,,,,,,,,,,,,,20260828
